readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
ridge,nll,random,100,6,48,4.467353053613532,4.463850915497152,4.464166568889945,0.003186484723587268,0.0031395308016113252,0.2227083333333333,0.007713438204695278
ridge,nll,random,227,6,48,4.465601959417637,4.463850915497152,4.464166568889945,0.0014353905276911253,0.0013599166275709475,0.4986458333333334,0.0052223505365272425
ridge,nll,second_moment_mmd,10,6,48,4.465807757140181,4.463850915497152,4.464166568889945,0.0016411882502350335,0.001658260295008059,0.3041666666666667,0.008843928618390784
ridge,nll,second_moment_mmd,25,6,48,4.4644116978241,4.463850915497152,4.464166568889945,0.00024512893415383025,0.00029030419073507635,0.5229166666666666,0.002764313110480643
ridge,nll,second_moment_mmd,50,6,48,4.464295240210601,4.463850915497152,4.464166568889945,0.00012867132065580433,8.672961728482347e-05,0.775,0.0028140086843428946
ridge,nll,second_moment_mmd,100,6,48,4.464166568889945,4.463850915497152,4.464166568889945,0.0,0.0,0.9270833333333335,0.0
ridge,nll,second_moment_mmd,227,6,48,4.464166568889945,4.463850915497152,4.464166568889945,0.0,0.0,0.99375,0.0
ridge,nll,target_a,10,6,48,4.468083897713153,4.463850915497152,4.464166568889945,0.0039173288232078884,0.004123843737654657,0.2125,0.015550229852089537
ridge,nll,target_a,25,6,48,4.4666694049070665,4.463850915497152,4.464166568889945,0.002502836017121368,0.002603869234397982,0.4354166666666666,0.015550229852089537
ridge,nll,target_a,50,6,48,4.465060910762269,4.463850915497152,4.464166568889945,0.0008943418723245111,0.0008270574852958235,0.625,0.006838896804233663
ridge,nll,target_a,100,6,48,4.464599833095385,4.463850915497152,4.464166568889945,0.0004332642054399131,0.00036697178497994515,0.8229166666666666,0.006725176994282656
ridge,nll,target_a,227,6,48,4.464166568889945,4.463850915497152,4.464166568889945,0.0,0.0,0.9854166666666666,0.0
