readout,metric,method,shortlist_size,comparator,comparator_budget,paired_loss_difference,descriptive_domain_bootstrap_low,descriptive_domain_bootstrap_high,domains_better,domains_worse,domain_count
logistic,nll,second_moment_mmd,100,exhaustive,455,5.654374632044212e-05,0.0,0.00016963123896132637,0,1,6
logistic,nll,second_moment_mmd,100,random,100,-0.031247571021020038,-0.04401356791063838,-0.018914696281214977,6,0,6
logistic,nll,second_moment_mmd,100,random,227,-0.010236685388666936,-0.014550624674724197,-0.005518265207587686,6,0,6
logistic,nll,second_moment_mmd,227,exhaustive,455,0.0,0.0,0.0,0,0,6
logistic,nll,second_moment_mmd,227,random,227,-0.010293229134987378,-0.014763228161132234,-0.005619977561675751,6,0,6
logistic,nll,target_a,10,exhaustive,455,0.027451261736451793,0.010510104345199287,0.04388597385353454,0,5,6
logistic,nll,target_a,10,random,10,-0.12731465514873438,-0.18782028100660145,-0.06483823702654491,6,0,6
logistic,nll,target_a,10,random,227,0.017158032601464413,-0.0012717542632865954,0.034192103817849234,2,4,6
logistic,nll,target_a,25,exhaustive,455,0.012869880171887135,-0.0002459202458315353,0.02932267408462382,2,3,6
logistic,nll,target_a,25,random,25,-0.07817653511432336,-0.11697066158563219,-0.038324532300551224,5,1,6
logistic,nll,target_a,25,random,227,0.0025766510368997555,-0.011367158854912055,0.019873997227132716,4,2,6
logistic,nll,target_a,50,exhaustive,455,0.005032421803614684,-0.0015935084523199998,0.015128922717002816,2,2,6
logistic,nll,target_a,50,random,50,-0.052523995679284764,-0.07536848280795543,-0.029679508550614103,6,0,6
logistic,nll,target_a,50,random,227,-0.005260807331372695,-0.013585897708063491,0.004949480685447834,5,1,6
logistic,nll,target_a,100,exhaustive,455,0.002810841855995357,0.0,0.008432525567986071,0,1,6
logistic,nll,target_a,100,random,100,-0.028493272911345124,-0.04268025540919191,-0.01474279233237577,6,0,6
logistic,nll,target_a,100,random,227,-0.007482387278992021,-0.014112315826283235,-0.0008057805113211858,5,1,6
logistic,nll,target_a,227,exhaustive,455,0.0,0.0,0.0,0,0,6
logistic,nll,target_a,227,random,227,-0.010293229134987378,-0.014550624674724197,-0.005542512157293418,6,0,6
ridge,brier_score,second_moment_mmd,10,exhaustive,455,4.12133107242571e-05,1.0003400084374117e-05,7.825233149047321e-05,1,5,6
ridge,brier_score,second_moment_mmd,10,random,10,-0.00027284804660978,-0.00038713074545240544,-0.000168987705456027,6,0,6
ridge,brier_score,second_moment_mmd,10,random,227,1.220276773666179e-05,-2.210518504903077e-05,4.651348585158325e-05,2,4,6
ridge,brier_score,second_moment_mmd,25,exhaustive,455,5.005355517460434e-06,6.944181822251169e-07,9.649566276373478e-06,0,4,6
ridge,brier_score,second_moment_mmd,25,random,25,-0.00019164312642159834,-0.00023994189067711122,-0.00013474146682177282,6,0,6
ridge,brier_score,second_moment_mmd,25,random,227,-2.4005187470134876e-05,-4.041070423639372e-05,-1.189761745299528e-05,6,0,6
ridge,brier_score,second_moment_mmd,50,exhaustive,455,2.522946303658291e-06,1.638480915551003e-07,6.532953575911586e-06,0,3,6
ridge,brier_score,second_moment_mmd,50,random,50,-0.00012562787875030715,-0.00015934534457719834,-8.880493521945763e-05,6,0,6
ridge,brier_score,second_moment_mmd,50,random,227,-2.648759668393702e-05,-4.151414403042308e-05,-1.2916187561121117e-05,6,0,6
ridge,brier_score,second_moment_mmd,100,exhaustive,455,0.0,0.0,0.0,0,0,6
ridge,brier_score,second_moment_mmd,100,random,100,-7.715619208797468e-05,-9.958257336509004e-05,-5.521984272025456e-05,6,0,6
ridge,brier_score,second_moment_mmd,100,random,227,-2.901054298759531e-05,-4.3709143809198915e-05,-1.5417875152162752e-05,6,0,6
ridge,brier_score,second_moment_mmd,227,exhaustive,455,0.0,0.0,0.0,0,0,6
ridge,brier_score,second_moment_mmd,227,random,227,-2.901054298759531e-05,-4.561813505277642e-05,-1.5273503405987588e-05,6,0,6
ridge,brier_score,target_a,10,exhaustive,455,9.596782581635284e-05,4.926674262758756e-05,0.00014317316735019495,1,5,6
ridge,brier_score,target_a,10,random,10,-0.00021809353151768426,-0.000342594970411135,-9.757679280624394e-05,6,0,6
ridge,brier_score,target_a,10,random,227,6.695728282875753e-05,1.732205856667483e-05,0.00011495969564153292,1,5,6
ridge,brier_score,target_a,25,exhaustive,455,6.210805121628638e-05,1.9455164369512612e-05,0.0001096652530189271,0,4,6
ridge,brier_score,target_a,25,random,25,-0.00013454043072277239,-0.00021745913506631778,-5.19283893839669e-05,6,0,6
ridge,brier_score,target_a,25,random,227,3.3097508228691064e-05,-1.7544612099555195e-05,8.373962855693733e-05,2,4,6
ridge,brier_score,target_a,50,exhaustive,455,2.2033976225618868e-05,1.2845613134374045e-06,4.8762484284499884e-05,0,3,6
ridge,brier_score,target_a,50,random,50,-0.00010611684882834659,-0.000160867141089834,-5.306501879362666e-05,6,0,6
ridge,brier_score,target_a,50,random,227,-6.976566761976444e-06,-3.83652921299484e-05,2.4716522709265776e-05,4,2,6
ridge,brier_score,target_a,100,exhaustive,455,9.700785312453017e-06,-2.708511635298357e-07,2.8863065035522606e-05,1,2,6
ridge,brier_score,target_a,100,random,100,-6.745540677552166e-05,-9.696552693127386e-05,-3.395454115171873e-05,6,0,6
ridge,brier_score,target_a,100,random,227,-1.9309757675142297e-05,-4.0955342903617464e-05,4.026663844245344e-06,5,1,6
