readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,brier_score,target_a,227,exhaustive,455,quickdraw,-9.725778866581658e-05
logistic,brier_score,target_a,227,exhaustive,455,real,0.0
logistic,brier_score,target_a,227,exhaustive,455,sketch,0.0
logistic,brier_score,target_a,227,random,227,clipart,-0.001835111228047609
logistic,brier_score,target_a,227,random,227,infograph,-0.0007675529350286564
logistic,brier_score,target_a,227,random,227,painting,-0.0017164914658933383
logistic,brier_score,target_a,227,random,227,quickdraw,-0.0008847613437792667
logistic,brier_score,target_a,227,random,227,real,-0.006309427342752
logistic,brier_score,target_a,227,random,227,sketch,-5.57954851056891e-05
logistic,error_rate,second_moment_mmd,10,exhaustive,455,clipart,0.02984619140625
logistic,error_rate,second_moment_mmd,10,exhaustive,455,infograph,0.0157470703125
logistic,error_rate,second_moment_mmd,10,exhaustive,455,painting,0.01458740234375
logistic,error_rate,second_moment_mmd,10,exhaustive,455,quickdraw,0.00048828125
logistic,error_rate,second_moment_mmd,10,exhaustive,455,real,0.00994873046875
logistic,error_rate,second_moment_mmd,10,exhaustive,455,sketch,0.00384521484375
logistic,error_rate,second_moment_mmd,10,random,10,clipart,-0.02048339843750001
logistic,error_rate,second_moment_mmd,10,random,10,infograph,-0.0052429199218750056
logistic,error_rate,second_moment_mmd,10,random,10,painting,-0.046575927734375
logistic,error_rate,second_moment_mmd,10,random,10,quickdraw,-0.006359863281250017
logistic,error_rate,second_moment_mmd,10,random,10,real,-0.039590454101562506
logistic,error_rate,second_moment_mmd,10,random,10,sketch,-0.021871948242187494
logistic,error_rate,second_moment_mmd,10,random,227,clipart,0.02054443359375
logistic,error_rate,second_moment_mmd,10,random,227,infograph,0.014248657226562503
logistic,error_rate,second_moment_mmd,10,random,227,painting,0.008950805664062492
logistic,error_rate,second_moment_mmd,10,random,227,quickdraw,-0.00013122558593750555
logistic,error_rate,second_moment_mmd,10,random,227,real,3.967285156250555e-05
logistic,error_rate,second_moment_mmd,10,random,227,sketch,0.0002777099609374972
logistic,error_rate,second_moment_mmd,25,exhaustive,455,clipart,0.0128173828125
logistic,error_rate,second_moment_mmd,25,exhaustive,455,infograph,0.0118408203125
logistic,error_rate,second_moment_mmd,25,exhaustive,455,painting,-0.0020751953125
logistic,error_rate,second_moment_mmd,25,exhaustive,455,quickdraw,-0.00323486328125
logistic,error_rate,second_moment_mmd,25,exhaustive,455,real,-0.00030517578125
