seed,dimension,candidate_count,budget,target_samples,target_rank,target_moment_relative_error,strategy_id,mode,rank_cap,rank_cap_fraction,rank_schedule,fallback_to_full,selected,full_selected,selection_match,proxy_risk,full_proxy_risk,relative_proxy_risk_vs_full_greedy,true_target_risk,full_true_target_risk,relative_true_risk_vs_full_greedy,transmitted_bytes,dense_full_gram_bytes,packed_full_gram_bytes,byte_ratio_vs_dense,byte_ratio_vs_packed,selection_seconds,decomposition_seconds,certified_steps,certificate_rate,certified_comparisons,total_comparisons,pair_certificate_rate,covered_intervals,total_intervals,interval_coverage_rate,mean_selected_interval_width,sketch_bytes,full_gram_bytes,byte_ratio,uncertified_fallback_steps,mean_refinement_rounds
20260920,16,8,3,32,4,0.31369144750930206,adaptive_cap_l2,adaptive_capped,2,0.125,1|2,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,2240,16384,8704,0.13671875,0.25735294117647056,0.1312438603490591,0.0029721707105636597,0,0.0,0,18,0.0,21,21,1.0,0.7574447049584513,,,,3,0.3333333333333333
20260920,16,8,3,32,4,0.31369144750930206,adaptive_fallback_cap_l2,adaptive_full_fallback,2,0.125,1|2,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.14904737286269665,0.0029721707105636597,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,0.6666666666666666
20260920,16,8,3,32,4,0.31369144750930206,adaptive_cap_l4,adaptive_capped,4,0.25,1|2|4,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,4288,16384,8704,0.26171875,0.49264705882352944,0.1479053683578968,0.0029721707105636597,0,0.0,5,18,0.2777777777777778,21,21,1.0,0.1699114361580336,,,,3,0.6666666666666666
20260920,16,8,3,32,4,0.31369144750930206,adaptive_fallback_cap_l4,adaptive_full_fallback,4,0.25,1|2|4,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.17768550105392933,0.0029721707105636597,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,1.3333333333333333
20260920,16,8,3,32,4,0.31369144750930206,adaptive_cap_l8,adaptive_capped,8,0.5,1|2|4|8,0,pool_00|pool_01|pool_06,pool_00|pool_01|pool_07,0,0.07496842215975613,0.07274063786840584,0.030626405770328047,0.08228386703007909,0.0794508175881136,0.03565790168016252,8384,16384,8704,0.51171875,0.9632352941176471,0.1793685369193554,0.0029721707105636597,0,0.0,6,18,0.3333333333333333,21,21,1.0,0.09025919525833269,,,,3,1.3333333333333333
20260920,16,8,3,32,4,0.31369144750930206,adaptive_fallback_cap_l8,adaptive_full_fallback,8,0.5,1|2|4|8,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.07274063786840584,0.07274063786840584,0.0,0.0794508175881136,0.0794508175881136,0.0,15552,16384,8704,0.94921875,1.786764705882353,0.207280732691288,0.0029721707105636597,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,2.0
20260920,16,8,1,32,8,0.42794996757566794,full_gram,full_gram,,,,0,pool_00,pool_00,1,0.2921642557216243,0.2921642557216243,0.0,0.3277792997125429,0.3277792997125429,0.0,8704,16384,8704,0.53125,1.0,0.0035715140402317047,0.0030029620975255966,,,,,,,,,,,,,,
20260920,16,8,1,32,8,0.42794996757566794,fixed_l1,fixed_rank,1,0.0625,1,0,pool_02,pool_00,0,0.8428998004378542,0.2921642557216243,1.8850202717507432,1.0003509911815904,0.3277792997125429,2.0519041076080216,1216,16384,8704,0.07421875,0.13970588235294118,0.025627726688981056,0.0030029620975255966,0,0.0,0,7,0.0,8,8,1.0,6.4370440927219965,1216,16384,0.07421875,,
20260920,16,8,1,32,8,0.42794996757566794,fixed_l2,fixed_rank,2,0.125,2,0,pool_02,pool_00,0,0.8428998004378542,0.2921642557216243,1.8850202717507432,1.0003509911815904,0.3277792997125429,2.0519041076080216,2240,16384,8704,0.13671875,0.25735294117647056,0.025592254474759102,0.0030029620975255966,0,0.0,0,7,0.0,8,8,1.0,5.1625599712384,2240,16384,0.13671875,,
20260920,16,8,1,32,8,0.42794996757566794,fixed_l4,fixed_rank,4,0.25,4,0,pool_02,pool_00,0,0.8428998004378542,0.2921642557216243,1.8850202717507432,1.0003509911815904,0.3277792997125429,2.0519041076080216,4288,16384,8704,0.26171875,0.49264705882352944,0.025831636041402817,0.0030029620975255966,0,0.0,0,7,0.0,8,8,1.0,3.5480733671756624,4288,16384,0.26171875,,
20260920,16,8,1,32,8,0.42794996757566794,fixed_l8,fixed_rank,8,0.5,8,0,pool_00,pool_00,1,0.2921642557216243,0.2921642557216243,0.0,0.3277792997125429,0.3277792997125429,0.0,8384,16384,8704,0.51171875,0.9632352941176471,0.025879928842186928,0.0030029620975255966,0,0.0,6,7,0.8571428571428571,8,8,1.0,0.15048196374320674,8384,16384,0.51171875,,
