encoder,overlap,budget,seeds,collapse_minus_rank_mean,collapse_minus_rank_std,collapse_win_count,collapse_tie_count,collapse_loss_count,collapse_win_rate,dpp_minus_rank_mean,dpp_minus_rank_std,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
vit_b16,0.0,8,10,1.8015423558464705,1.3093586395521633,9,0,1,0.9,-0.3223483013512123,0.9604807721110975,4,0,6,0.4
vit_b16,0.0,10,10,4.830388455031027,0.4611697193742203,10,0,0,1.0,0.7581515406444737,0.36695435718934244,10,0,0,1.0
vit_b16,0.1,3,10,-22.8221134045484,12.676396881832247,0,2,8,0.0,10.142904044251594,13.154428364203053,10,0,0,1.0
vit_b16,0.1,5,10,-31.565807688081783,3.6236346707436646,0,0,10,0.0,7.130215395677965,2.9049391401146365,10,0,0,1.0
vit_b16,0.1,8,10,1.9047045075752975,1.473045995410788,10,0,0,1.0,0.16941832723958897,1.2830283976614083,6,0,4,0.6
vit_b16,0.1,10,10,4.98069800290366,0.6360386012804865,10,0,0,1.0,1.5405012237770734,0.4189101217970313,10,0,0,1.0
vit_b16,0.25,3,10,-28.260281898835906,22.171082061497042,0,2,8,0.0,14.337650462710224,13.245873460730976,10,0,0,1.0
vit_b16,0.25,5,10,-32.61923026577532,4.029298138880759,0,0,10,0.0,9.850200705205292,3.959584685671577,10,0,0,1.0
vit_b16,0.25,8,10,2.093512069508165,2.2245203218661684,9,0,1,0.9,1.698825114772535,2.1850512877490806,8,0,2,0.8
vit_b16,0.25,10,10,5.713677569486743,0.8441648154152427,10,0,0,1.0,3.252064350707792,0.6537774484748892,10,0,0,1.0
vit_b16,0.5,3,10,-44.41873161954512,28.68111019867032,0,1,9,0.0,34.291498045723806,30.09321063060453,10,0,0,1.0
vit_b16,0.5,5,10,-34.26347748655972,7.441512124092313,0,0,10,0.0,14.671784984935039,7.81702882864843,10,0,0,1.0
vit_b16,0.5,8,10,4.653225031904322,3.1677763782963333,9,0,1,0.9,6.108614490226626,3.2131292196964902,9,0,1,0.9
vit_b16,0.5,10,10,7.507670299735525,0.4421071229953896,10,0,0,1.0,6.118297174265365,0.5746865181391906,10,0,0,1.0
vit_b16,0.75,3,10,-38.86506545361807,43.7559828550833,1,2,7,0.1,66.4190461994663,49.06530913452872,10,0,0,1.0
vit_b16,0.75,5,10,-29.867473557987523,17.159828191055155,0,0,10,0.0,24.623812189011836,17.011045517020193,10,0,0,1.0
vit_b16,0.75,8,10,3.5010738643646504,3.661068625972139,9,0,1,0.9,8.771464863594598,4.569827265172018,10,0,0,1.0
vit_b16,0.75,10,10,8.034837925231841,1.8706749804526719,10,0,0,1.0,8.852465978833596,0.48811587783968546,10,0,0,1.0
vit_b16,1.0,3,10,-0.43883563760202265,37.34158249096034,1,4,5,0.1,109.86082794600375,55.90033967292679,10,0,0,1.0
vit_b16,1.0,5,10,-15.14696997232259,29.176370633282165,4,0,6,0.4,46.14672427543557,29.82387782388907,10,0,0,1.0
vit_b16,1.0,8,10,4.739540198969507,4.981110547819193,9,0,1,0.9,14.189659676964629,4.8526003172676075,10,0,0,1.0
vit_b16,1.0,10,10,9.177153664162086,2.651133835844296,10,0,0,1.0,12.008738869769308,0.35021913086613043,10,0,0,1.0
