method,shortlist_size,unit_count,mean_shortlist_reduction,mean_true_top_q_recall,recall_ci_low,recall_ci_high,mean_selected_normalized_regret,regret_ci_low,regret_ci_high,mean_best_shortlist_normalized_regret,mean_screen_spearman_vs_test_brier,passes_reduction_gate,passes_recall_gate,passes_regret_gate,passes_all_gates
second_moment_mmd,50,6,0.8901098901098902,0.7083333333333334,0.5833333333333334,0.85,1.3418380028403263e-05,3.04047421292876e-06,2.9772758330496256e-05,1.2224193589116332e-06,0.6902855983571263,1,0,1,0
second_moment_mmd,100,6,0.7802197802197802,0.8666666666666667,0.8166666666666668,0.9250000000000002,1.4256813206693553e-05,3.6361097080342547e-06,3.047395225926792e-05,0.0,0.6902855983571263,1,0,1,0
second_moment_mmd,227,6,0.5010989010989011,0.9833333333333334,0.9666666666666667,1.0,1.319817539504726e-05,2.3489240273430256e-06,3.0325469946286586e-05,0.0,0.6902855983571263,1,1,1,1
target_a,10,6,0.978021978021978,0.2416666666666667,0.13333333333333333,0.3666666666666667,7.882231627182644e-05,3.729143969923991e-05,0.00012533201117398258,7.882231627182644e-05,0.7444838056680161,1,0,1,0
target_a,25,6,0.9450549450549451,0.45,0.2833333333333333,0.6333333333333332,5.091276866616568e-05,2.007022120878625e-05,8.113548825833405e-05,4.7915425928456646e-05,0.7444838056680161,1,0,1,0
target_a,50,6,0.8901098901098902,0.6333333333333333,0.4583333333333333,0.8166666666666668,2.352367288559276e-05,7.080165466591017e-06,4.110047054659739e-05,1.2525939204907194e-05,0.7444838056680161,1,0,1,0
target_a,100,6,0.7802197802197802,0.7999999999999999,0.6833333333333332,0.9249999999999999,2.352367288559276e-05,7.080165466591017e-06,4.0792093632619756e-05,1.2386350027747428e-05,0.7444838056680161,1,0,1,0
target_a,227,6,0.5010989010989011,0.9833333333333334,0.9666666666666667,1.0,1.319817539504726e-05,2.3489240273430256e-06,3.0325469946286586e-05,0.0,0.7444838056680161,1,1,1,1
target_energy,10,6,0.978021978021978,0.049999999999999996,0.0,0.15,0.0007682785286478279,0.000395886891286464,0.0010861118991414744,0.0007682785286478279,-0.039549388126364715,1,0,1,0
target_energy,25,6,0.9450549450549451,0.075,0.0,0.225,0.0006044085723911377,0.0002768632836415443,0.0009319538611407309,0.0005976684143142981,-0.039549388126364715,1,0,1,0
target_energy,50,6,0.8901098901098902,0.1416666666666667,0.0,0.42500000000000004,0.0004007225151372283,0.00019636120772215473,0.000612510644599133,0.0003903668117941805,-0.039549388126364715,1,0,1,0
target_energy,100,6,0.7802197802197802,0.20833333333333334,0.016666666666666666,0.5083333333333333,0.00022565080342733202,8.603539323296495e-05,0.000373270593682943,0.0002193452311781024,-0.039549388126364715,1,0,1,0
target_energy,227,6,0.5010989010989011,0.4666666666666666,0.225,0.7166666666666667,9.373738371034674e-05,1.847535550390096e-05,0.0001905442465950068,8.720563021330568e-05,-0.039549388126364715,1,0,1,0
