scope,readout,metric,shortlist_size,method,domain_count,repeated_task_count,evaluated_candidates_mean,validation_loss_mean,test_loss_mean,delta_vs_mmd_mean,delta_vs_matched_mmd_mean,gap_to_full_validation_mean,recall_at_top_q_mean,fractional_recall_at_top_q_mean,absolute_omission_mean,better_than_mmd_tasks,better_than_mmd_rate,worse_than_mmd_tasks,worse_than_mmd_rate,better_than_matched_mmd_tasks,better_than_matched_mmd_rate,worse_than_matched_mmd_tasks,worse_than_matched_mmd_rate,selected_changed_from_mmd_tasks,selected_changed_from_mmd_rate,selected_outside_mmd_tasks,selected_outside_mmd_rate,selected_from_a_only_tasks,selected_from_a_only_rate,any_test_oracle_retained_tasks,any_test_oracle_retained_rate,delta_vs_mmd_domains_better,delta_vs_mmd_domains_worse,delta_vs_matched_mmd_domains_better,delta_vs_matched_mmd_domains_worse
new_seeds,ridge,brier_score,100,mmd_matched_union_size,6,48,123.04166666666667,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.94375,0.94375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,100,union,6,48,123.04166666666667,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.96875,0.96875,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,227,a_opt,6,48,227.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.9833333333333334,0.9833333333333334,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,227,interleave_a_first,6,48,227.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,227,interleave_mmd_first,6,48,227.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.9916666666666667,0.9916666666666667,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,227,mmd,6,48,227.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.99375,0.99375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,227,mmd_2s_then_a,6,48,227.0,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.9833333333333334,0.9833333333333334,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,227,mmd_matched_union_size,6,48,248.52083333333334,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.99375,0.99375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,brier_score,227,union,6,48,248.52083333333334,0.9866441577247764,0.98667551988934,0.0,0.0,0.0,0.99375,0.99375,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,1.0,0,0,0,0
new_seeds,ridge,error_rate,10,a_opt,6,48,10.0,0.6191609700520834,0.6244608561197916,-0.0012308756510416667,0.000885009765625,0.006266276041666667,0.17500000000000002,0.17222222222222225,0.009602864583333334,22,0.4583333333333333,17,0.3541666666666667,15,0.3125,20,0.4166666666666667,39,0.8125,34,0.7083333333333334,34,0.7083333333333334,15,0.3125,4,2,3,3
