scope,readout,metric,shortlist_size,domain_count,repeated_task_count,overlap_count_mean,union_size_mean,jaccard_mean,mmd_missed_top_q_mean,a_missed_top_q_mean,a_rescued_top_q_mean,mmd_rescued_top_q_mean,a_rescued_fractional_top_q_mean,mmd_rescued_fractional_top_q_mean,omission_reduction_from_union_mean,a_only_better_than_mmd_choice_mean,top_q_boundary_ties_mean,has_a_rescue_tasks,has_a_rescue_rate,has_mmd_rescue_tasks,has_mmd_rescue_rate,a_rescues_any_oracle_tasks,a_rescues_any_oracle_rate,mmd_rescues_any_oracle_tasks,mmd_rescues_any_oracle_rate,union_selects_a_only_tasks,union_selects_a_only_rate,union_better_than_mmd_tasks,union_better_than_mmd_rate,union_worse_than_mmd_tasks,union_worse_than_mmd_rate,union_better_than_matched_mmd_tasks,union_better_than_matched_mmd_rate,union_worse_than_matched_mmd_tasks,union_worse_than_matched_mmd_rate,a_rescue_reaches_final_improvement_tasks,a_rescue_reaches_final_improvement_rate
new_seeds,ridge,brier_score,100,6,48,76.95833333333333,123.04166666666667,0.6356781959858625,0.7291666666666666,1.75,0.4166666666666667,1.4375,0.4166666666666667,1.4375,0.0,0.0,1.0,14,0.2916666666666667,26,0.5416666666666666,0,0.0,5,0.10416666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
new_seeds,ridge,brier_score,227,6,48,205.47916666666666,248.52083333333334,0.8325437451769894,0.0625,0.16666666666666666,0.0,0.10416666666666667,0.0,0.10416666666666667,0.0,0.0,1.0,0,0.0,5,0.10416666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
new_seeds,ridge,error_rate,10,6,48,3.7708333333333335,16.229166666666668,0.28456352227637055,7.958333333333333,8.25,0.9583333333333334,1.25,0.9444444444444443,1.263888888888889,0.00469970703125,0.75,1.6458333333333333,27,0.5625,29,0.6041666666666666,6,0.125,3,0.0625,21,0.4375,18,0.375,3,0.0625,15,0.3125,10,0.20833333333333334,15,0.3125
new_seeds,ridge,error_rate,25,6,48,12.0625,37.9375,0.35159925165493994,5.895833333333333,6.395833333333333,1.3541666666666667,1.8541666666666667,1.3472222222222223,1.8680555555555556,0.002166748046875,0.5416666666666666,1.6458333333333333,33,0.6875,35,0.7291666666666666,7,0.14583333333333334,7,0.14583333333333334,14,0.2916666666666667,10,0.20833333333333334,4,0.08333333333333333,10,0.20833333333333334,3,0.0625,9,0.1875
new_seeds,ridge,error_rate,50,6,48,30.9375,69.0625,0.4725101619614789,3.8541666666666665,4.541666666666667,1.1458333333333333,1.8333333333333333,1.138888888888889,1.8333333333333333,0.001617431640625,0.6458333333333334,1.6458333333333333,31,0.6458333333333334,35,0.7291666666666666,7,0.14583333333333334,4,0.08333333333333333,10,0.20833333333333334,9,0.1875,1,0.020833333333333332,2,0.041666666666666664,2,0.041666666666666664,8,0.16666666666666666
new_seeds,ridge,error_rate,100,6,48,76.95833333333333,123.04166666666667,0.6356781959858625,1.625,2.3125,0.3333333333333333,1.0208333333333333,0.34722222222222215,1.0138888888888888,0.0,0.10416666666666667,1.6458333333333333,13,0.2708333333333333,25,0.5208333333333334,0,0.0,8,0.16666666666666666,2,0.041666666666666664,0,0.0,2,0.041666666666666664,0,0.0,0,0.0,0,0.0
new_seeds,ridge,error_rate,227,6,48,205.47916666666666,248.52083333333334,0.8325437451769894,0.25,0.375,0.0,0.125,0.0,0.125,0.0,0.0,1.6458333333333333,0,0.0,4,0.08333333333333333,0,0.0,1,0.020833333333333332,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
new_seeds,ridge,nll,10,6,48,3.7708333333333335,16.229166666666668,0.28456352227637055,6.958333333333333,7.875,0.7291666666666666,1.6458333333333333,0.7291666666666666,1.6458333333333333,0.00040869493529860357,0.3333333333333333,1.0,19,0.3958333333333333,37,0.7708333333333334,2,0.041666666666666664,14,0.2916666666666667,7,0.14583333333333334,7,0.14583333333333334,0,0.0,6,0.125,11,0.22916666666666666,7,0.14583333333333334
new_seeds,ridge,nll,25,6,48,12.0625,37.9375,0.35159925165493994,4.770833333333333,5.645833333333333,1.5416666666666667,2.4166666666666665,1.5416666666666667,2.4166666666666665,0.00021670109488876785,0.3125,1.0,32,0.6666666666666666,34,0.7083333333333334,6,0.125,18,0.375,7,0.14583333333333334,6,0.125,1,0.020833333333333332,5,0.10416666666666667,3,0.0625,6,0.125
new_seeds,ridge,nll,50,6,48,30.9375,69.0625,0.4725101619614789,2.25,3.75,1.1458333333333333,2.6458333333333335,1.1458333333333333,2.6458333333333335,7.376307250306358e-05,0.20833333333333334,1.0,24,0.5,31,0.6458333333333334,3,0.0625,13,0.2708333333333333,4,0.08333333333333333,4,0.08333333333333333,0,0.0,4,0.08333333333333333,0,0.0,4,0.08333333333333333
new_seeds,ridge,nll,100,6,48,76.95833333333333,123.04166666666667,0.6356781959858625,0.7291666666666666,1.7708333333333333,0.4375,1.4791666666666667,0.4375,1.4791666666666667,0.0,0.0,1.0,14,0.2916666666666667,25,0.5208333333333334,0,0.0,6,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
