excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dinov2_b14,rank_only,5,21,3,21,0.8571428571428571,0.7777777777777777,0.0011048340302046975,0.03853495425266144,-0.0005987655548822312,0.7058823529411764,0.8571428571428571,0.7777777777777777,4.0,0.7142857142857143,1,False
dinov2_b14,dpp_subspace,8,21,3,21,0.9047619047619048,0.8571428571428571,0.0007949603326261759,0.026070938021024025,-0.00018121742066883116,0.5294117647058824,0.9047619047619048,0.888888888888889,6.666666666666667,0.5238095238095238,2,True
dinov2_b14,facility_subspace,8,21,3,21,0.38095238095238093,0.5396825396825397,0.0021705205102136214,0.06822160776663144,0.0013129807653881266,0.5294117647058824,0.38095238095238093,0.6031746031746031,8.0,0.42857142857142855,0,False
dinov2_b14,full_merged_rank,8,21,3,21,0.9047619047619048,0.8571428571428571,0.0006964957783804851,0.023651605387045783,-0.0006731703167869942,0.5294117647058824,0.9047619047619048,0.8730158730158729,6.333333333333333,0.5476190476190477,2,True
dinov2_b14,kcenter_subspace,8,21,3,21,0.5714285714285714,0.5714285714285714,0.0008819797040782491,0.037771832053707606,0.0015407352220444457,0.5294117647058824,0.5714285714285714,0.5873015873015872,8.0,0.42857142857142855,0,False
dinov2_b14,pool_vendi_subspace,8,21,3,21,0.7619047619047619,0.5555555555555556,0.0004907385138561862,0.016721984939774427,0.00022604408718291365,0.5294117647058824,0.7619047619047619,0.5714285714285714,8.0,0.42857142857142855,0,False
dinov2_b14,rank_only,8,21,3,21,0.9047619047619048,0.8412698412698413,0.0008070236180223866,0.027059731060105577,-0.00030114650726318466,0.5294117647058824,0.9047619047619048,0.8412698412698413,5.333333333333333,0.619047619047619,2,True
resnet50,dpp_subspace,3,21,3,21,0.6666666666666666,0.47619047619047616,0.0005475907097711042,0.023566417565463918,-0.00028119541349864665,0.8235294117647058,0.7619047619047619,0.6428571428571429,3.0,0.7857142857142857,0,False
resnet50,facility_subspace,3,21,3,21,0.19047619047619047,0.4126984126984127,0.0030918232832477096,0.11221902361986895,0.0037409640493847106,0.8235294117647058,0.19047619047619047,0.4523809523809524,3.0,0.7857142857142857,0,False
resnet50,full_merged_rank,3,21,3,21,0.7142857142857143,0.5714285714285714,0.0004879986346645273,0.01752267921565387,0.00023662760144189083,0.8235294117647058,0.8095238095238095,0.6587301587301587,3.0,0.7857142857142857,0,False
resnet50,kcenter_subspace,3,21,3,21,0.3333333333333333,0.31746031746031744,0.002665991118270097,0.10814767527914372,0.003503353255135672,0.8235294117647058,0.3333333333333333,0.31746031746031744,3.0,0.7857142857142857,0,False
resnet50,pool_vendi_subspace,3,21,3,21,0.3333333333333333,0.31746031746031744,0.002665991118270097,0.10814767527914372,0.003503353255135672,0.8235294117647058,0.3333333333333333,0.31746031746031744,3.0,0.7857142857142857,0,False
resnet50,rank_only,3,21,3,21,0.6666666666666666,0.5396825396825397,0.0010522738631428882,0.0444809847981989,0.0012855535461789064,0.8235294117647058,0.6666666666666666,0.5476190476190477,2.3333333333333335,0.8333333333333334,0,False
resnet50,dpp_subspace,5,21,3,21,0.7619047619047619,0.5873015873015872,0.00025835891856953346,0.008342702974259262,-0.0008650047438485223,0.7058823529411764,0.9523809523809523,0.9047619047619048,5.0,0.6428571428571428,0,False
resnet50,facility_subspace,5,21,3,21,0.3333333333333333,0.47619047619047616,0.002106861720751527,0.08172202976085709,0.00244227477482387,0.7058823529411764,0.3333333333333333,0.5158730158730158,5.0,0.6428571428571428,0,False
resnet50,full_merged_rank,5,21,3,21,0.8571428571428571,0.8412698412698413,0.00026414320334332075,0.012301900312960896,0.00027579466501871853,0.7058823529411764,0.8571428571428571,0.8412698412698413,4.0,0.7142857142857143,1,False
resnet50,kcenter_subspace,5,21,3,21,0.47619047619047616,0.42857142857142855,0.00211061321292081,0.07421726626587738,0.002602403504507892,0.7058823529411764,0.47619047619047616,0.42857142857142855,5.0,0.6428571428571428,0,False
resnet50,pool_vendi_subspace,5,21,3,21,0.47619047619047616,0.42857142857142855,0.00211061321292081,0.07421726626587738,0.002602403504507892,0.7058823529411764,0.47619047619047616,0.42857142857142855,5.0,0.6428571428571428,0,False
resnet50,rank_only,5,21,3,21,0.8571428571428571,0.8412698412698413,0.00026414320334332075,0.012301900312960896,0.00027579466501871853,0.7058823529411764,0.8571428571428571,0.8412698412698413,4.0,0.7142857142857143,1,False
resnet50,dpp_subspace,8,21,3,21,0.9047619047619048,0.888888888888889,2.1596343336723518e-05,0.002530728620594921,-0.0003194434302193799,0.5294117647058824,0.9523809523809523,0.9365079365079365,6.666666666666667,0.5238095238095238,2,True
resnet50,facility_subspace,8,21,3,21,0.38095238095238093,0.5238095238095238,0.0021036868398760407,0.08149546848424279,0.0023152896336146775,0.5294117647058824,0.38095238095238093,0.5634920634920635,8.0,0.42857142857142855,0,False
resnet50,full_merged_rank,8,21,3,21,0.9523809523809523,0.9047619047619048,3.174880875486278e-06,0.0002265612766143098,0.0001269851412091926,0.5294117647058824,0.9523809523809523,0.9206349206349206,6.333333333333333,0.5476190476190477,2,True
resnet50,kcenter_subspace,8,21,3,21,0.5238095238095238,0.5714285714285714,0.0008982874266394118,0.03993177385376362,0.0014913530576796806,0.5294117647058824,0.5714285714285714,0.5952380952380952,8.0,0.42857142857142855,0,False
resnet50,pool_vendi_subspace,8,21,3,21,0.7619047619047619,0.5714285714285714,0.00048482375378904106,0.01729611793903956,0.00010964246023269826,0.5294117647058824,0.7619047619047619,0.5793650793650793,8.0,0.42857142857142855,0,False
resnet50,rank_only,8,21,3,21,0.9523809523809523,0.9047619047619048,3.174880875486278e-06,0.0002265612766143098,0.0001269851412091926,0.5294117647058824,0.9523809523809523,0.9047619047619048,5.333333333333333,0.619047619047619,2,True
vit_b16,dpp_subspace,3,21,3,21,0.6666666666666666,0.47619047619047616,0.001507937984245274,0.05535015698407926,-0.0016210334641592844,0.8235294117647058,0.6666666666666666,0.6428571428571429,3.0,0.7857142857142857,0,False
vit_b16,facility_subspace,3,21,3,21,0.14285714285714285,0.42857142857142855,0.003455513974373685,0.11920123689478765,0.003365625086284812,0.8235294117647058,0.14285714285714285,0.4603174603174603,3.0,0.7857142857142857,0,False
vit_b16,full_merged_rank,3,21,3,21,0.7142857142857143,0.5714285714285714,0.0014483459091386972,0.04930641863426922,-0.001103210449218747,0.8235294117647058,0.7142857142857143,0.6587301587301587,3.0,0.7857142857142857,0,False
vit_b16,kcenter_subspace,3,21,3,21,0.47619047619047616,0.31746031746031744,0.0023132488029008785,0.09967090872432677,0.0032600652603876003,0.8235294117647058,0.47619047619047616,0.3253968253968254,3.0,0.7857142857142857,0,False
vit_b16,pool_vendi_subspace,3,21,3,21,0.47619047619047616,0.31746031746031744,0.0023132488029008785,0.09967090872432677,0.0032600652603876003,0.8235294117647058,0.47619047619047616,0.3253968253968254,3.0,0.7857142857142857,0,False
