encoder,target_domain,readout,method,shortlist_size,repeat_count,score_seconds,resident_seconds,median_resident_seconds,test_brier_score,test_nll,test_error_rate,feature_seconds,source_blocks_charged,raw_additive_seconds,resident_vs_full_seconds,raw_vs_full_seconds,paired_test_brier_score,paired_test_nll,paired_test_error_rate
dinov2_b14,clipart,ridge,random,100,3,0.0005381753047307333,0.34428847084442776,0.34400492906570435,0.9847659832963492,4.385598175321327,0.4132486979166667,43.042592488229275,15.0,43.3868809590737,-1.1520859872301419,-1.1520859872301443,0.0002426481868719188,0.00845346050819984,0.023111979166666685
dinov2_b14,clipart,ridge,random,227,3,0.0005381753047307333,0.7487990135947863,0.7527236342430115,0.9845905158788693,4.379611436878932,0.4039713541666667,43.042592488229275,15.0,43.79139150182406,-0.7475754444797834,-0.7475754444797857,6.718076939193907e-05,0.0024667220658045608,0.013834635416666685
dinov2_b14,clipart,ridge,second_moment_mmd,10,3,0.03900882105032603,0.07779184232155482,0.07459336519241333,0.9848331812127751,4.38519475218781,0.4072265625,48.092208340764046,15.0,48.1700001830856,-1.4185826157530148,3.6310332367817537,0.00030984610329776174,0.008050037374682795,0.01708984375
dinov2_b14,clipart,ridge,second_moment_mmd,25,3,0.03900882105032603,0.13189140210549036,0.1286211907863617,0.9845233351094773,4.377144714813127,0.38916015625,48.092208340764046,15.0,48.224099742869534,-1.3644830559690793,3.6851327965656893,0.0,0.0,-0.0009765625
dinov2_b14,clipart,ridge,second_moment_mmd,50,3,0.03900882105032603,0.21522114922602972,0.2132926508784294,0.9845233351094773,4.377144714813127,0.39013671875,48.092208340764046,15.0,48.30742948999008,-1.28115330884854,3.7684625436862333,0.0,0.0,0.0
dinov2_b14,clipart,ridge,second_moment_mmd,100,3,0.03900882105032603,0.37773791948954266,0.37843678146600723,0.9845233351094773,4.377144714813127,0.39013671875,48.092208340764046,15.0,48.469946260253586,-1.118636538585027,3.9309793139497415,0.0,0.0,0.0
dinov2_b14,clipart,ridge,second_moment_mmd,227,3,0.03900882105032603,0.7972713510195414,0.7991227135062218,0.9845233351094773,4.377144714813127,0.39013671875,48.092208340764046,15.0,48.889479691783585,-0.6991031070550283,4.35051274547974,0.0,0.0,0.0
dinov2_b14,clipart,ridge,target_a,10,3,0.3498488962650299,0.394996998210748,0.3989242613315582,0.9846714389414678,4.38223519749365,0.39013671875,48.092208340764046,15.0,48.487205338974796,-1.1013774598638217,3.9482383926709517,0.00014810383199048704,0.005090482680523145,0.0
dinov2_b14,clipart,ridge,target_a,25,3,0.3498488962650299,0.445089894036452,0.4508424997329712,0.9846714389414678,4.38223519749365,0.39013671875,48.092208340764046,15.0,48.537298234800495,-1.0512845640381177,3.998331288496651,0.00014810383199048704,0.005090482680523145,0.0
dinov2_b14,clipart,ridge,target_a,50,3,0.3498488962650299,0.5287055646379789,0.5383442938327789,0.9845233351094773,4.377144714813127,0.39013671875,48.092208340764046,15.0,48.62091390540203,-0.9676688934365908,4.0819469590981825,0.0,0.0,0.0
dinov2_b14,clipart,ridge,target_a,100,3,0.3498488962650299,0.690354106326898,0.7083221822977066,0.9845233351094773,4.377144714813127,0.39013671875,48.092208340764046,15.0,48.782562447090946,-0.8060203517476717,4.243595500787102,0.0,0.0,0.0
dinov2_b14,clipart,ridge,target_a,227,3,0.3498488962650299,1.1158575937151909,1.134815625846386,0.9845233351094773,4.377144714813127,0.39013671875,48.092208340764046,15.0,49.20806593447924,-0.3805168643593788,4.669098988175392,0.0,0.0,0.0
dinov2_b14,infograph,logistic,exhaustive,455,3,0.0002814382314682007,39.08392570912838,39.24880584329367,0.8663387478329648,3.4475180478880403,0.6552734375,41.35431378334761,15.0,80.43823949247599,0.0,0.0,0.0,0.0,0.0
dinov2_b14,infograph,logistic,random,10,3,0.00060310959815979,0.8506218766172727,0.8413541093468666,0.8789244278331477,3.534442923054053,0.65576171875,38.54959413409233,13.666666666666666,39.400216010709606,-38.233303832511105,-41.03802348176638,0.012585680000182897,0.08692487516601277,0.00048828125
dinov2_b14,infograph,logistic,random,25,3,0.00060310959815979,2.0636250178019204,2.0407315120100975,0.8681121557092354,3.4662584185325875,0.6521809895833334,41.35431378334761,15.0,43.417938801149525,-37.02030069132646,-37.02030069132646,0.0017734078762705607,0.018740370644547255,-0.0030924479166666297
dinov2_b14,infograph,logistic,random,50,3,0.00060310959815979,4.265976292391618,4.224136613309383,0.8681121557092354,3.4662584185325875,0.6521809895833334,41.35431378334761,15.0,45.62029007573923,-34.81794941673676,-34.81794941673676,0.0017734078762705607,0.018740370644547255,-0.0030924479166666297
dinov2_b14,infograph,logistic,random,100,3,0.00060310959815979,8.500476298232874,8.52653033286333,0.8681121557092354,3.4662584185325875,0.6521809895833334,41.35431378334761,15.0,49.85479008158048,-30.583449410895504,-30.583449410895504,0.0017734078762705607,0.018740370644547255,-0.0030924479166666297
dinov2_b14,infograph,logistic,random,227,3,0.00060310959815979,19.348184642692406,19.51557968556881,0.8673178945474066,3.452759032941802,0.6559244791666666,41.35431378334761,15.0,60.70249842604001,-19.735741066435974,-19.735741066435978,0.0009791467144417698,0.005240985053761804,0.0006510416666666297
dinov2_b14,infograph,logistic,second_moment_mmd,10,3,0.03848123302062353,0.7765376567840576,0.7793706730008125,0.8692983082519822,3.475144390663656,0.64697265625,48.34557081013918,15.0,49.12210846692324,-38.30738805234432,-31.31613102555275,0.0029595604190173486,0.027626342775615598,-0.00830078125
dinov2_b14,infograph,logistic,second_moment_mmd,25,3,0.03848123302062353,1.9261317600806553,1.9201721921563148,0.8663387478329648,3.4827649106317025,0.64697265625,48.34557081013918,15.0,50.27170257021984,-37.15779394904772,-30.16653692225615,0.0,0.03524686274366218,-0.00830078125
dinov2_b14,infograph,logistic,second_moment_mmd,50,3,0.03848123302062353,3.7995499819517136,3.7863553911447525,0.8663387478329648,3.4475180478880403,0.65380859375,48.34557081013918,15.0,52.14512079209089,-35.284375727176666,-28.293118700385094,0.0,0.0,-0.00146484375
dinov2_b14,infograph,logistic,second_moment_mmd,100,3,0.03848123302062353,7.818143708010514,7.8191585168242455,0.8663387478329648,3.4475180478880403,0.6552734375,48.34557081013918,15.0,56.163714518149696,-31.265782001117866,-24.27452497432629,0.0,0.0,0.0
dinov2_b14,infograph,logistic,second_moment_mmd,227,3,0.03848123302062353,17.9313839028279,18.145632795989513,0.8663387478329648,3.4475180478880403,0.6552734375,48.34557081013918,15.0,66.27695471296708,-21.15254180630048,-14.161284779508904,0.0,0.0,0.0
dinov2_b14,infograph,logistic,target_a,10,3,0.34798730413119,1.0741645370920498,1.0753295719623566,0.8813332703854861,3.502815924533397,0.65380859375,48.34557081013918,15.0,49.41973534723123,-38.00976117203633,-31.018504145244755,0.014994522552521317,0.05529787664535668,-0.00146484375
dinov2_b14,infograph,logistic,target_a,25,3,0.34798730413119,2.1468828742702804,2.1277468726038933,0.8751856010862747,3.4816186875654096,0.65380859375,48.34557081013918,15.0,50.49245368440946,-36.9370428348581,-29.945785808066525,0.008846853253309916,0.034100639677369315,-0.00146484375
dinov2_b14,infograph,logistic,target_a,50,3,0.34798730413119,4.005356406172116,3.998141996562481,0.8692983082519822,3.463241003049326,0.6552734375,48.34557081013918,15.0,52.3509272163113,-35.07856930295626,-28.08731227616469,0.0029595604190173486,0.015722955161285856,0.0
