seed,target,accuracy,config,construction_seed,overlap,budget,method,selected
5,eurosat,0.809999942779541,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
5,fgvc_aircraft,0.14999999105930328,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
5,flowers102,0.6911765336990356,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
5,food101,0.24752473831176758,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
5,gtsrb,0.6000000238418579,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
5,oxford_pets,0.8963964581489563,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
6,beans,0.7960199117660522,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
6,dtd,0.5446808338165283,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
6,eurosat,0.8299999833106995,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
6,fgvc_aircraft,0.1599999964237213,seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025
