construction,readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
original,ridge,brier_score,second_moment_mmd,50,6,12,0.9866428255522651,0.9866270068343567,0.9866385394817128,4.286070552380246e-06,3.2285918015739767e-06,0.7416666666666667,3.8368661179011276e-05
original,ridge,brier_score,second_moment_mmd,100,6,12,0.9866385394817128,0.9866270068343567,0.9866385394817128,0.0,0.0,0.9,0.0
original,ridge,brier_score,second_moment_mmd,227,6,12,0.9866385394817128,0.9866270068343567,0.9866385394817128,0.0,0.0,1.0,0.0
original,ridge,brier_score,target_a,10,6,12,0.9867182562388351,0.9866270068343567,0.9866385394817128,7.97167571223445e-05,9.124940447835517e-05,0.24166666666666667,0.0004135605735220427
original,ridge,brier_score,target_a,25,6,12,0.9867020973984347,0.9866270068343567,0.9866385394817128,6.355791672195872e-05,6.843642867866244e-05,0.44166666666666665,0.0003268691073238239
original,ridge,brier_score,target_a,50,6,12,0.9866554764892271,0.9866270068343567,0.9866385394817128,1.6937007514418918e-05,2.1813701664458174e-05,0.625,0.0001806043194618745
original,ridge,brier_score,target_a,100,6,12,0.9866492780791524,0.9866270068343567,0.9866385394817128,1.0738597439570915e-05,1.0738597439570915e-05,0.8333333333333335,0.00012886316927485097
original,ridge,brier_score,target_a,227,6,12,0.9866385394817128,0.9866270068343567,0.9866385394817128,0.0,0.0,0.9833333333333334,0.0
original,ridge,error_rate,domain_moment,10,6,12,0.6291097005208334,0.6102701822916666,0.6151529947916666,0.013956705729166666,0.016398111979166668,0.22499999999999998,0.0498046875
original,ridge,error_rate,domain_moment,25,6,12,0.6273600260416666,0.6102701822916666,0.6151529947916666,0.01220703125,0.013956705729166666,0.31666666666666665,0.0498046875
original,ridge,error_rate,domain_moment,50,6,12,0.6223551432291666,0.6102701822916666,0.6151529947916666,0.0072021484375,0.007161458333333333,0.47500000000000003,0.01806640625
original,ridge,error_rate,domain_moment,100,6,12,0.6190185546875,0.6102701822916666,0.6151529947916666,0.0038655598958333335,0.0034993489583333335,0.7166666666666667,0.01806640625
original,ridge,error_rate,domain_moment,227,6,12,0.6151529947916666,0.6102701822916666,0.6151529947916666,0.0,0.0,0.9583333333333334,0.0
original,ridge,error_rate,exhaustive,455,6,12,0.6151529947916666,0.6102701822916666,0.6151529947916666,0.0,0.0,1.0,0.0
original,ridge,error_rate,mean_matching,10,6,12,0.6286214192708334,0.6102701822916666,0.6151529947916666,0.013468424479166666,0.01513671875,0.15833333333333335,0.05859375
original,ridge,error_rate,mean_matching,25,6,12,0.6215006510416666,0.6102701822916666,0.6151529947916666,0.00634765625,0.008219401041666666,0.3,0.0205078125
original,ridge,error_rate,mean_matching,50,6,12,0.62060546875,0.6102701822916666,0.6151529947916666,0.005452473958333333,0.005411783854166667,0.5166666666666667,0.0205078125
original,ridge,error_rate,mean_matching,100,6,12,0.6201578776041666,0.6102701822916666,0.6151529947916666,0.0050048828125,0.001953125,0.7250000000000001,0.01806640625
original,ridge,error_rate,mean_matching,227,6,12,0.6151529947916666,0.6102701822916666,0.6151529947916666,0.0,0.0,0.9083333333333333,0.0
original,ridge,error_rate,random,10,6,12,0.6501993815104167,0.6102701822916666,0.6151529947916666,0.03504638671875,0.03689982096354167,0.027083333333333334,0.0700927734375
original,ridge,error_rate,random,25,6,12,0.6373555501302083,0.6102701822916666,0.6151529947916666,0.022202555338541666,0.023388671875,0.057916666666666665,0.04677734375
