construction,readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
original,ridge,error_rate,domain_moment,100,0.005,0.25,1.0,6
original,ridge,error_rate,domain_moment,100,0.01,0.16666666666666666,0.5,6
original,ridge,error_rate,domain_moment,100,0.02,0.0,0.0,6
original,ridge,error_rate,domain_moment,227,0.005,0.0,0.0,6
original,ridge,error_rate,domain_moment,227,0.01,0.0,0.0,6
original,ridge,error_rate,domain_moment,227,0.02,0.0,0.0,6
original,ridge,error_rate,exhaustive,455,0.005,0.0,0.0,6
original,ridge,error_rate,exhaustive,455,0.01,0.0,0.0,6
original,ridge,error_rate,exhaustive,455,0.02,0.0,0.0,6
original,ridge,error_rate,mean_matching,10,0.005,0.6666666666666666,1.0,6
original,ridge,error_rate,mean_matching,10,0.01,0.5,1.0,6
original,ridge,error_rate,mean_matching,10,0.02,0.25,0.5,6
original,ridge,error_rate,mean_matching,25,0.005,0.5,1.0,6
original,ridge,error_rate,mean_matching,25,0.01,0.3333333333333333,0.5,6
original,ridge,error_rate,mean_matching,25,0.02,0.08333333333333333,0.5,6
original,ridge,error_rate,mean_matching,50,0.005,0.5,1.0,6
original,ridge,error_rate,mean_matching,50,0.01,0.3333333333333333,0.5,6
original,ridge,error_rate,mean_matching,50,0.02,0.08333333333333333,0.5,6
original,ridge,error_rate,mean_matching,100,0.005,0.3333333333333333,1.0,6
original,ridge,error_rate,mean_matching,100,0.01,0.25,0.5,6
original,ridge,error_rate,mean_matching,100,0.02,0.0,0.0,6
original,ridge,error_rate,mean_matching,227,0.005,0.0,0.0,6
original,ridge,error_rate,mean_matching,227,0.01,0.0,0.0,6
original,ridge,error_rate,mean_matching,227,0.02,0.0,0.0,6
original,ridge,error_rate,random,10,0.005,0.8375,0.975,6
original,ridge,error_rate,random,10,0.01,0.7916666666666666,0.975,6
original,ridge,error_rate,random,10,0.02,0.6416666666666667,0.8999999999999999,6
original,ridge,error_rate,random,25,0.005,0.7625000000000001,0.925,6
original,ridge,error_rate,random,25,0.01,0.6791666666666667,0.925,6
original,ridge,error_rate,random,25,0.02,0.5166666666666667,0.825,6
original,ridge,error_rate,random,50,0.005,0.7000000000000001,0.875,6
original,ridge,error_rate,random,50,0.01,0.5875,0.875,6
original,ridge,error_rate,random,50,0.02,0.3833333333333333,0.625,6
original,ridge,error_rate,random,100,0.005,0.575,0.8,6
original,ridge,error_rate,random,100,0.01,0.4583333333333333,0.775,6
original,ridge,error_rate,random,100,0.02,0.2416666666666667,0.45,6
original,ridge,error_rate,random,227,0.005,0.3041666666666667,0.525,6
original,ridge,error_rate,random,227,0.01,0.24999999999999997,0.525,6
original,ridge,error_rate,random,227,0.02,0.09583333333333334,0.275,6
original,ridge,error_rate,second_moment_mmd,10,0.005,0.5,1.0,6
original,ridge,error_rate,second_moment_mmd,10,0.01,0.3333333333333333,1.0,6
original,ridge,error_rate,second_moment_mmd,10,0.02,0.08333333333333333,0.5,6
original,ridge,error_rate,second_moment_mmd,25,0.005,0.3333333333333333,1.0,6
original,ridge,error_rate,second_moment_mmd,25,0.01,0.25,0.5,6
original,ridge,error_rate,second_moment_mmd,25,0.02,0.08333333333333333,0.5,6
original,ridge,error_rate,second_moment_mmd,50,0.005,0.3333333333333333,1.0,6
original,ridge,error_rate,second_moment_mmd,50,0.01,0.25,0.5,6
original,ridge,error_rate,second_moment_mmd,50,0.02,0.08333333333333333,0.5,6
original,ridge,error_rate,second_moment_mmd,100,0.005,0.08333333333333333,0.5,6
original,ridge,error_rate,second_moment_mmd,100,0.01,0.08333333333333333,0.5,6
original,ridge,error_rate,second_moment_mmd,100,0.02,0.0,0.0,6
