dataset,encoder,target_domain,budget,method,repeat,combination,selected_sample_count,brier_score,oracle_brier,normalized_brier_regret,brier_rank,top_q,in_brier_top_q,target_a_proxy_rank
pacs,dinov2_b14,cartoon,1,spectrum_rank_l,-1,art_painting__block_02,501,0.694165615758559,0.6706562572237164,0.03505425958771064,8,10,1,8
pacs,dinov2_b14,cartoon,1,target_a,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,1,target_energy,-1,sketch__block_00,1032,0.6788795901201758,0.6706562572237164,0.01226162107321749,3,10,1,1
pacs,dinov2_b14,cartoon,3,bayesian_d,-1,art_painting__block_01|art_painting__block_03|sketch__block_00,2073,0.6455791521817855,0.6370907641356676,0.013323671482875816,82,10,0,24
pacs,dinov2_b14,cartoon,3,collapse_4s,-1,art_painting__block_01|art_painting__block_03|sketch__block_00,2073,0.6455791521817855,0.6370907641356676,0.013323671482875816,82,10,0,24
pacs,dinov2_b14,cartoon,3,domain_balance,-1,art_painting__block_01|photo__block_00|sketch__block_00,1987,0.6451139807469015,0.6370907641356676,0.012593522089617703,75,10,0,49
pacs,dinov2_b14,cartoon,3,dpp_subspace,-1,art_painting__block_01|photo__block_00|sketch__block_00,1987,0.6451139807469015,0.6370907641356676,0.012593522089617703,75,10,0,49
pacs,dinov2_b14,cartoon,3,effective_rank,-1,art_painting__block_03|photo__block_00|sketch__block_00,1984,0.6440001326074634,0.6370907641356676,0.010845186998071842,54,10,0,53
pacs,dinov2_b14,cartoon,3,facility_subspace,-1,art_painting__block_01|photo__block_00|sketch__block_00,1987,0.6451139807469015,0.6370907641356676,0.012593522089617703,75,10,0,49
pacs,dinov2_b14,cartoon,3,kcenter_subspace,-1,art_painting__block_02|photo__block_02|sketch__block_00,1928,0.6471014782015407,0.6370907641356676,0.015713167776736762,101,10,0,105
pacs,dinov2_b14,cartoon,3,random,0,art_painting__block_02|photo__block_03|sketch__block_02,1891,0.6467003365129403,0.6370907641356676,0.015083521718149464,96,10,0,82
pacs,dinov2_b14,cartoon,3,random,1,photo__block_01|sketch__block_00|sketch__block_01,2423,0.6516229309673661,0.6370907641356676,0.022810198561603934,135,10,0,125
pacs,dinov2_b14,cartoon,3,random,2,art_painting__block_02|photo__block_02|sketch__block_03,1854,0.6412797298120322,0.6370907641356676,0.006575147392142363,31,10,0,112
pacs,dinov2_b14,cartoon,3,random,3,art_painting__block_02|photo__block_01|sketch__block_00,1948,0.6472936337495294,0.6370907641356676,0.01601478186189679,105,10,0,101
pacs,dinov2_b14,cartoon,3,random,4,art_painting__block_01|art_painting__block_03|photo__block_01,1456,0.6728936382023246,0.6370907641356676,0.056197446395617315,175,10,0,173
pacs,dinov2_b14,cartoon,3,random,5,art_painting__block_00|photo__block_03|sketch__block_02,1896,0.644070463728848,0.6370907641356676,0.010955581192029553,55,10,0,65
pacs,dinov2_b14,cartoon,3,random,6,art_painting__block_03|photo__block_01|sketch__block_01,1910,0.6392122357629627,0.6370907641356676,0.0033299362456985513,16,10,0,90
pacs,dinov2_b14,cartoon,3,random,7,art_painting__block_01|art_painting__block_03|sketch__block_03,1999,0.6396216637568239,0.6370907641356676,0.003972588779543864,18,10,0,38
pacs,dinov2_b14,cartoon,3,random,8,art_painting__block_02|photo__block_00|photo__block_01,1349,0.6867467499950514,0.6370907641356676,0.0779417763601571,211,10,0,213
pacs,dinov2_b14,cartoon,3,random,9,sketch__block_01|sketch__block_02|sketch__block_03,2897,0.6659716640591702,0.6370907641356676,0.04533247309382196,161,10,0,140
