encoder,source,source_domain,adapter_seed,target,validation_accuracy,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,pneumoniamnist,medical,1,flowers102,0.6323530077934265,0.6711999177932739,500,600,256,128,0.01,1.2148509249091148,0.025595013052225113,npu:6
resnet50,pneumoniamnist,medical,1,food101,0.39603960514068604,0.4309999942779541,500,600,256,128,0.01,1.2148509249091148,0.023690273985266685,npu:6
resnet50,pneumoniamnist,medical,1,gtsrb,0.6607669591903687,0.573199987411499,500,600,256,128,0.01,1.2148509249091148,0.022683070972561836,npu:6
resnet50,pneumoniamnist,medical,1,oxford_pets,0.9066305160522461,0.8819841146469116,500,600,256,128,0.01,1.2148509249091148,0.019291527569293976,npu:6
resnet50,pneumoniamnist,medical,2,beans,0.8509616255760193,0.8828125,500,600,256,128,0.01,1.2263745944947004,0.015211395919322968,npu:6
resnet50,pneumoniamnist,medical,2,dtd,0.6050532460212708,0.6159573793411255,500,600,256,128,0.01,1.2263745944947004,0.019352149218320847,npu:6
resnet50,pneumoniamnist,medical,2,eurosat,0.9045724868774414,0.8966666460037231,500,600,256,128,0.01,1.2263745944947004,0.020240403711795807,npu:6
resnet50,pneumoniamnist,medical,2,flowers102,0.6274510622024536,0.680400013923645,500,600,256,128,0.01,1.2263745944947004,0.020128481090068817,npu:6
resnet50,pneumoniamnist,medical,2,food101,0.39009901881217957,0.4283999800682068,500,600,256,128,0.01,1.2263745944947004,0.02361207641661167,npu:6
resnet50,pneumoniamnist,medical,2,gtsrb,0.665683388710022,0.5801999568939209,500,600,256,128,0.01,1.2263745944947004,0.022096801549196243,npu:6
resnet50,pneumoniamnist,medical,2,oxford_pets,0.9052773118019104,0.8822566866874695,500,600,256,128,0.01,1.2263745944947004,0.01982066221535206,npu:6
resnet50,pneumoniamnist,medical,3,beans,0.841346263885498,0.875,500,600,256,128,0.01,1.2319797556847334,0.014427999034523964,npu:6
resnet50,pneumoniamnist,medical,3,dtd,0.6077128648757935,0.6058510541915894,500,600,256,128,0.01,1.2319797556847334,0.018967468291521072,npu:6
resnet50,pneumoniamnist,medical,3,eurosat,0.8827037215232849,0.8877778053283691,500,600,256,128,0.01,1.2319797556847334,0.020662350580096245,npu:6
resnet50,pneumoniamnist,medical,3,flowers102,0.5980392694473267,0.6691999435424805,500,600,256,128,0.01,1.2319797556847334,0.021968238055706024,npu:6
resnet50,pneumoniamnist,medical,3,food101,0.394059419631958,0.42979997396469116,500,600,256,128,0.01,1.2319797556847334,0.027423178777098656,npu:6
