encoder,target_domain,metric,combination,empirical_loss,empirical_rank,bootstrap_top_q_frequency
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_low|real__clip_pc1_high,0.9885009210663656,323,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_low|real__clip_pc1_low,0.9881262781753664,132,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_low|real__clip_pc1_middle,0.9884227526331135,285,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_low|sketch__clip_pc1_high,0.9887619529703694,428,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_low|sketch__clip_pc1_low,0.9882438672142149,189,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_low|sketch__clip_pc1_middle,0.9885600383409099,358,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_middle|real__clip_pc1_high,0.9885642480769488,360,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_middle|real__clip_pc1_low,0.9881839226621429,157,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_middle|real__clip_pc1_middle,0.9884724237994993,315,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_middle|sketch__clip_pc1_high,0.9888181974438104,436,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_middle|sketch__clip_pc1_low,0.9882988226978415,217,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|quickdraw__clip_pc1_middle|sketch__clip_pc1_middle,0.9886187770035977,384,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_high|real__clip_pc1_low,0.9879048349823838,33,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_high|real__clip_pc1_middle,0.9882349027507997,184,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_high|sketch__clip_pc1_high,0.9885018824950309,325,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_high|sketch__clip_pc1_low,0.9880536065659655,92,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_high|sketch__clip_pc1_middle,0.9883212715115878,226,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_low|real__clip_pc1_middle,0.9879321739813569,43,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_low|sketch__clip_pc1_high,0.9880873430119776,110,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_low|sketch__clip_pc1_low,0.9877770981665259,13,0.0985
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_low|sketch__clip_pc1_middle,0.9879548119484962,56,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_middle|sketch__clip_pc1_high,0.9883605894417786,250,0.0
resnet50,clipart,brier_score,infograph__clip_pc1_low|real__clip_pc1_middle|sketch__clip_pc1_low,0.9880035168521848,69,0.0
