method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
facility_subspace,10,food101,4,0.25,0.5,0.001253334036469475,0.03990032963570959,0.00022999346256255548,0.5238095238095238,0.25,0.5416666666666666,10.0,0.4117647058823529
facility_subspace,10,gtsrb,4,0.0,0.41666666666666663,0.007499998961885718,0.2051957924287257,0.0069500088691711315,0.5238095238095238,0.0,0.5,10.0,0.4117647058823529
facility_subspace,10,oxford_pets,4,0.0,0.5,0.002649457805344535,0.11489027531370975,0.002085044980049161,0.5238095238095238,0.0,0.5833333333333333,10.0,0.4117647058823529
full_merged_rank,3,beans,4,0.25,0.16666666666666666,0.006624757482650401,0.2482094801563156,-0.004687499999999983,0.8571428571428572,0.25,0.16666666666666666,3.0,0.8235294117647058
full_merged_rank,3,dtd,4,0.75,0.5833333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.8571428571428572,1.0,0.75,3.0,0.8235294117647058
full_merged_rank,3,eurosat,4,0.5,0.5,0.00024000294486681284,0.019495563851486826,0.0006481528282165361,0.8571428571428572,0.5,0.5833333333333333,3.0,0.8235294117647058
full_merged_rank,3,flowers102,4,0.75,0.5,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.8571428571428572,0.75,0.5833333333333333,3.0,0.8235294117647058
full_merged_rank,3,food101,4,0.75,0.6666666666666666,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.8571428571428572,1.0,0.875,3.0,0.8235294117647058
full_merged_rank,3,gtsrb,4,1.0,0.5,0.0,0.0,0.0,0.8571428571428572,1.0,0.6666666666666666,3.0,0.8235294117647058
full_merged_rank,3,oxford_pets,4,1.0,0.5,0.0,0.0,0.0,0.8571428571428572,1.0,0.6666666666666666,3.0,0.8235294117647058
full_merged_rank,5,beans,4,0.25,0.16666666666666666,0.005947773053828959,0.2247825938522354,-0.00390625,0.7619047619047619,0.25,0.16666666666666666,4.0,0.7647058823529411
full_merged_rank,5,dtd,4,1.0,1.0,0.0,0.0,0.0,0.7619047619047619,1.0,1.0,4.0,0.7647058823529411
full_merged_rank,5,eurosat,4,0.5,0.6666666666666666,0.00024000294486681284,0.019495563851486826,0.0006481528282165361,0.7619047619047619,0.5,0.6666666666666666,4.0,0.7647058823529411
full_merged_rank,5,flowers102,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.7619047619047619,1.0,0.6666666666666666,4.0,0.7647058823529411
full_merged_rank,5,food101,4,1.0,1.0,0.0,0.0,0.0,0.7619047619047619,1.0,1.0,4.0,0.7647058823529411
full_merged_rank,5,gtsrb,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.7619047619047619,1.0,0.6666666666666666,4.0,0.7647058823529411
full_merged_rank,5,oxford_pets,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.7619047619047619,1.0,0.8333333333333333,4.0,0.7647058823529411
full_merged_rank,10,beans,4,0.5,0.6666666666666666,0.003707284553830348,0.1360066210058138,-0.001953125,0.5238095238095238,0.5,0.7083333333333333,8.25,0.5147058823529411
full_merged_rank,10,dtd,4,1.0,1.0,0.0,0.0,0.0,0.5238095238095238,1.0,1.0,8.25,0.5147058823529411
full_merged_rank,10,eurosat,4,0.5,0.6666666666666666,0.00024000294486681284,0.019495563851486826,0.0006481528282165361,0.5238095238095238,0.5,0.6666666666666666,8.25,0.5147058823529411
full_merged_rank,10,flowers102,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.5238095238095238,1.0,0.8333333333333333,8.25,0.5147058823529411
full_merged_rank,10,food101,4,1.0,1.0,0.0,0.0,0.0,0.5238095238095238,1.0,1.0,8.25,0.5147058823529411
full_merged_rank,10,gtsrb,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.5238095238095238,1.0,0.8333333333333333,8.25,0.5147058823529411
full_merged_rank,10,oxford_pets,4,1.0,0.9166666666666666,0.0,0.0,0.0,0.5238095238095238,1.0,0.9166666666666666,8.25,0.5147058823529411
