target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
painting,dpp_subspace,100,0.7802197802197802,0.39999999999999997,0.0001104662235772796,0.0001104662235772796,0.21554685171077473
painting,dpp_subspace,227,0.5010989010989011,0.65,4.6539186329921506e-05,4.6539186329921506e-05,0.21554685171077473
painting,merged_effective_rank,10,0.978021978021978,0.1,0.00028936400001249604,0.0002736821022746072,0.7062481687104919
painting,merged_effective_rank,25,0.945054945054945,0.39999999999999997,0.0001104662235772796,0.0001104662235772796,0.7062481687104919
painting,merged_effective_rank,50,0.8901098901098901,0.6499999999999999,4.6539186329921506e-05,4.6539186329921506e-05,0.7062481687104919
painting,merged_effective_rank,100,0.7802197802197802,0.9,0.0,0.0,0.7062481687104919
painting,merged_effective_rank,227,0.5010989010989011,1.0,0.0,0.0,0.7062481687104919
painting,random,10,0.9780219780219779,0.025,0.0005194743759333562,0.0005175580715338523,0.018814948672936153
painting,random,25,0.945054945054945,0.060000000000000005,0.00024349603252438043,0.00024296237023615775,0.018814948672936153
painting,random,50,0.8901098901098902,0.12250000000000003,0.0001582273031955136,0.00015086397925187877,0.018814948672936153
painting,random,100,0.7802197802197803,0.24250000000000002,0.0001124325759142386,9.578953755402962e-05,0.018814948672936153
painting,random,227,0.5010989010989011,0.5075000000000001,6.511703333591243e-05,5.701071423978301e-05,0.018814948672936153
painting,second_moment_mmd,10,0.978021978021978,0.35,4.6539186329921506e-05,4.6539186329921506e-05,0.7000300649964457
painting,second_moment_mmd,25,0.945054945054945,0.55,0.0,0.0,0.7000300649964457
painting,second_moment_mmd,50,0.8901098901098901,0.8,0.0,0.0,0.7000300649964457
painting,second_moment_mmd,100,0.7802197802197802,0.9,0.0,0.0,0.7000300649964457
painting,second_moment_mmd,227,0.5010989010989011,1.0,0.0,0.0,0.7000300649964457
painting,target_a,10,0.978021978021978,0.35,4.6539186329921506e-05,4.6539186329921506e-05,0.7920578088732506
painting,target_a,25,0.945054945054945,0.6499999999999999,0.0,0.0,0.7920578088732506
painting,target_a,50,0.8901098901098901,0.8,0.0,0.0,0.7920578088732506
painting,target_a,100,0.7802197802197802,0.9,0.0,0.0,0.7920578088732506
painting,target_a,227,0.5010989010989011,1.0,0.0,0.0,0.7920578088732506
painting,target_energy,10,0.978021978021978,0.0,0.0012002076175060428,0.0012002076175060428,-0.1654251903904118
painting,target_energy,25,0.945054945054945,0.0,0.0011884457615385262,0.0011884457615385262,-0.1654251903904118
painting,target_energy,50,0.8901098901098901,0.0,0.0008055087790283645,0.0008055087790283645,-0.1654251903904118
painting,target_energy,100,0.7802197802197802,0.0,0.0003594715608948489,0.0003594715608948489,-0.1654251903904118
painting,target_energy,227,0.5010989010989011,0.3,7.108123855716028e-05,7.108123855716028e-05,-0.1654251903904118
quickdraw,bayesian_d,10,0.978021978021978,0.0,0.0002460830137809392,0.00023721159535147724,-0.29792889118764376
quickdraw,bayesian_d,25,0.945054945054945,0.0,0.0002290119508031375,0.00022025902224959582,-0.29792889118764376
quickdraw,bayesian_d,50,0.8901098901098901,0.0,0.00020429665730215907,0.00019959350757012902,-0.29792889118764376
quickdraw,bayesian_d,100,0.7802197802197802,0.0,0.00013822578159633885,0.00013115794406884666,-0.29792889118764376
quickdraw,bayesian_d,227,0.5010989010989011,0.0,9.218559159218263e-05,9.218559159218263e-05,-0.29792889118764376
quickdraw,domain_balance,10,0.978021978021978,0.0,0.00010987983757949767,0.00010987983757949767,0.1817513752187993
quickdraw,domain_balance,25,0.945054945054945,0.0,0.00010987983757949767,0.00010987983757949767,0.1817513752187993
quickdraw,domain_balance,50,0.8901098901098901,0.0,9.863515981717647e-05,9.863515981717647e-05,0.1817513752187993
quickdraw,domain_balance,100,0.7802197802197802,0.0,9.640943633979915e-05,9.640943633979915e-05,0.1817513752187993
quickdraw,domain_balance,227,0.5010989010989011,0.2,6.480120465853485e-05,6.480120465853485e-05,0.1817513752187993
quickdraw,dpp_subspace,10,0.978021978021978,0.0,0.00027330448955371824,0.00027098392505005666,-0.4081202880124744
quickdraw,dpp_subspace,25,0.945054945054945,0.0,0.00019364413935728133,0.00019364413935728133,-0.4081202880124744
quickdraw,dpp_subspace,50,0.8901098901098901,0.0,0.00017683064626799393,0.00017683064626799393,-0.4081202880124744
quickdraw,dpp_subspace,100,0.7802197802197802,0.0,0.00018059740792015182,0.00016480136241037207,-0.4081202880124744
quickdraw,dpp_subspace,227,0.5010989010989011,0.0,0.000154512802040084,0.00014519520711130945,-0.4081202880124744
quickdraw,merged_effective_rank,10,0.978021978021978,0.0,0.00023869642841384907,0.00022982500998438714,-0.31595540443789927
quickdraw,merged_effective_rank,25,0.945054945054945,0.0,0.0002290119508031375,0.00022027103239641467,-0.31595540443789927
quickdraw,merged_effective_rank,50,0.8901098901098901,0.0,0.00022036562912111505,0.00021104676568858743,-0.31595540443789927
quickdraw,merged_effective_rank,100,0.7802197802197802,0.0,0.00013822578159633885,0.00013822578159633885,-0.31595540443789927
quickdraw,merged_effective_rank,227,0.5010989010989011,0.0,0.00010726800362393197,9.588484473283734e-05,-0.31595540443789927
quickdraw,random,10,0.9780219780219779,0.025,0.00010521200986874233,9.849048928560026e-05,0.0009667425085927285
quickdraw,random,25,0.945054945054945,0.052500000000000005,8.018107595682037e-05,7.360879145241187e-05,0.0009667425085927285
quickdraw,random,50,0.8901098901098902,0.10750000000000001,6.614621189489491e-05,6.004982895418361e-05,0.0009667425085927285
quickdraw,random,100,0.7802197802197803,0.19999999999999998,5.072106056886671e-05,3.890530624491425e-05,0.0009667425085927285
quickdraw,random,227,0.5010989010989011,0.45999999999999996,2.1989918930291312e-05,1.3234100255833951e-05,0.0009667425085927285
quickdraw,second_moment_mmd,10,0.978021978021978,0.3,4.12902268226409e-05,3.440279000449775e-05,0.7060786072263003
quickdraw,second_moment_mmd,25,0.945054945054945,0.55,6.887436818143153e-06,0.0,0.7060786072263003
quickdraw,second_moment_mmd,50,0.8901098901098901,0.75,1.1401621775410532e-05,0.0,0.7060786072263003
quickdraw,second_moment_mmd,100,0.7802197802197802,0.8500000000000001,1.1401621775410532e-05,0.0,0.7060786072263003
quickdraw,second_moment_mmd,227,0.5010989010989011,1.0,1.1401621775410532e-05,0.0,0.7060786072263003
quickdraw,target_a,10,0.978021978021978,0.15000000000000002,6.025848325756679e-05,6.025848325756679e-05,0.6918368438887799
quickdraw,target_a,25,0.945054945054945,0.30000000000000004,4.12902268226409e-05,3.440279000449775e-05,0.6918368438887799
quickdraw,target_a,50,0.8901098901098901,0.44999999999999996,4.5804411779908285e-05,3.440279000449775e-05,0.6918368438887799
quickdraw,target_a,100,0.7802197802197802,0.6000000000000001,4.5804411779908285e-05,3.440279000449775e-05,0.6918368438887799
quickdraw,target_a,227,0.5010989010989011,0.95,1.1401621775410532e-05,0.0,0.6918368438887799
quickdraw,target_energy,10,0.978021978021978,0.3,3.440279000449775e-05,3.440279000449775e-05,0.7269051780586675
quickdraw,target_energy,25,0.945054945054945,0.5,6.887436818143153e-06,0.0,0.7269051780586675
quickdraw,target_energy,50,0.8901098901098901,0.8500000000000001,6.887436818143153e-06,0.0,0.7269051780586675
quickdraw,target_energy,100,0.7802197802197802,0.95,1.1401621775410532e-05,0.0,0.7269051780586675
quickdraw,target_energy,227,0.5010989010989011,1.0,1.1401621775410532e-05,0.0,0.7269051780586675
real,bayesian_d,10,0.978021978021978,0.44999999999999996,0.0,0.0,0.8741752509025869
real,bayesian_d,25,0.945054945054945,0.7,0.0,0.0,0.8741752509025869
real,bayesian_d,50,0.8901098901098901,0.95,1.3894547134601205e-06,0.0,0.8741752509025869
real,bayesian_d,100,0.7802197802197802,1.0,1.3894547134601205e-06,0.0,0.8741752509025869
real,bayesian_d,227,0.5010989010989011,1.0,1.3894547134601205e-06,0.0,0.8741752509025869
real,domain_balance,10,0.978021978021978,0.0,0.0006459576951693507,0.0006328422902828344,0.11769363259045615
real,domain_balance,25,0.945054945054945,0.0,0.0005859607689537953,0.0005555580664277032,0.11769363259045615
real,domain_balance,50,0.8901098901098901,0.0,0.00031452511218863963,0.00028954922132450956,0.11769363259045615
real,domain_balance,100,0.7802197802197802,0.1,0.00017958747868032198,0.00014138494715964416,0.11769363259045615
real,domain_balance,227,0.5010989010989011,0.15,0.00017958747868032198,0.00014138494715964416,0.11769363259045615
real,dpp_subspace,10,0.978021978021978,0.0,0.0011062471428458015,0.0011062471428458015,-0.03126078072171279
real,dpp_subspace,25,0.945054945054945,0.0,0.0008101103395022083,0.0008101103395022083,-0.03126078072171279
real,dpp_subspace,50,0.8901098901098901,0.0,0.0006664306075073983,0.0006664306075073983,-0.03126078072171279
real,dpp_subspace,100,0.7802197802197802,0.0,0.00030489180009045857,0.00030489180009045857,-0.03126078072171279
real,dpp_subspace,227,0.5010989010989011,0.3,6.013689549005419e-05,6.013689549005419e-05,-0.03126078072171279
