encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,fashion_mnist,digits_characters,3,dtd,0.6279255628585816,0.009304700161396734,0.6409574747|0.6210106611|0.6303191781|0.6329787374|0.6143617630,3760,stratified_5_fold,5,20260906,0.6255318522453308,500,600,256,128,0.01,1.1765806749463081,0.04528279975056648,npu:6
resnet50,fashion_mnist,digits_characters,3,eurosat,0.8945999699234962,0.005379370380987559,0.8996022940|0.8932135701|0.9019019008|0.8876630068|0.8905621767,5000,stratified_5_fold,5,20260906,0.8959258794784546,500,600,256,128,0.01,1.1765806749463081,0.04759638570249081,npu:6
resnet50,fashion_mnist,digits_characters,3,flowers102,0.6441177129745483,0.02641606096083164,0.6225490570|0.6911765337|0.6176471710|0.6519608498|0.6372549534,1020,stratified_5_fold,5,20260906,0.6697999835014343,500,600,256,128,0.01,1.1765806749463081,0.05043868534266949,npu:6
resnet50,fashion_mnist,digits_characters,3,food101,0.40540001368522643,0.00786115345135941,0.4059405923|0.4099010229|0.4168316722|0.3940594196|0.4000000358,5000,stratified_5_fold,5,20260906,0.4389999806880951,500,600,256,128,0.01,1.1765806749463081,0.05631374567747116,npu:6
resnet50,fashion_mnist,digits_characters,3,gtsrb,0.680000008559227,0.01523053987969322,0.7030482292|0.6805970073|0.6593406796|0.6881287694|0.6683621407,5000,stratified_5_fold,5,20260906,0.5785999298095703,500,600,256,128,0.01,1.1765806749463081,0.05102590098977089,npu:6
resnet50,fashion_mnist,digits_characters,3,oxford_pets,0.90652174645144,0.010512506082926469,0.9120432138|0.9008152485|0.8885869980|0.9142857790|0.9168937206,3680,stratified_5_fold,5,20260906,0.8849822282791138,500,600,256,128,0.01,1.1765806749463081,0.04781033657491207,npu:6
resnet50,fashion_mnist,digits_characters,4,beans,0.8713733318119492,0.01681313508497926,0.8653846979|0.8502415419|0.8888888955|0.8932039142|0.8592233062,1034,stratified_5_fold,5,20260906,0.9375,500,600,256,128,0.01,1.158851670101285,0.0408640131354332,npu:6
resnet50,fashion_mnist,digits_characters,4,dtd,0.6188830137252808,0.0120005470147359,0.6409574747|0.6103724241|0.6063829660|0.6170213223|0.6196808815,3760,stratified_5_fold,5,20260906,0.6271276473999023,500,600,256,128,0.01,1.158851670101285,0.04755967669188976,npu:6
resnet50,fashion_mnist,digits_characters,4,eurosat,0.8937999773859978,0.006278109794577986,0.8886679411|0.8842315674|0.8998999000|0.8966900110|0.8995983601,5000,stratified_5_fold,5,20260906,0.9103703498840332,500,600,256,128,0.01,1.158851670101285,0.051623791456222534,npu:6
resnet50,fashion_mnist,digits_characters,4,flowers102,0.6431373238563538,0.04311495639593723,0.6127451658|0.6911765337|0.6274510622|0.6960784793|0.5882353783,1020,stratified_5_fold,5,20260906,0.6735999584197998,500,600,256,128,0.01,1.158851670101285,0.049393702298402786,npu:6
resnet50,fashion_mnist,digits_characters,4,food101,0.3982000231146812,0.008216275424685813,0.3970296979|0.4089109302|0.3980198205|0.3841584325|0.4031250477,5000,stratified_5_fold,5,20260906,0.4505999684333801,500,600,256,128,0.01,1.158851670101285,0.05358091555535793,npu:6
