alpha_target,gamma_target,repeat,alpha_actual,gamma_actual,r_eff_A,r_eff_B,r_eff_dominant,r_eff_subordinate,r_eff_merged,r_eff_ideal,collapse_ratio,delta_r,is_superadditive,nuclear_A,nuclear_B,q,r_pred_theory,pred_error,dominant_cause
0.1,0.33,4,0.09999999999999996,0.3300000000000001,36.79288311452369,36.792883114523654,36.79288311452369,36.792883114523654,63.56275423750177,73.58576622904735,0.13620857001539358,26.76987112297808,True,31.622776601683785,10.435516278555653,0.763746123911563,63.56275423750183,5.684341886080802e-14,superadditive
0.1,0.5,0,0.10000000000000003,0.4999999999999999,36.79288311452369,36.792883114523654,36.79288311452369,36.792883114523654,68.5985746072223,73.58576622904735,0.06777386276445942,31.805691492698614,True,31.622776601683796,15.811388300841895,0.6850973786280805,68.59857460722225,5.684341886080802e-14,superadditive
0.1,0.5,1,0.10000000000000002,0.5,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,68.59857460722225,73.58576622904738,0.06777386276446055,31.805691492698557,True,31.62277660168379,15.811388300841895,0.6850973786280804,68.59857460722225,0.0,superadditive
0.1,0.5,2,0.10000000000000009,0.5000000000000001,36.792883114523654,36.79288311452369,36.792883114523654,36.79288311452369,68.5985746072223,73.58576622904735,0.06777386276445942,31.80569149269865,True,31.62277660168379,15.811388300841898,0.6850973786280804,68.59857460722219,1.1368683772161603e-13,superadditive
0.1,0.5,3,0.10000000000000002,0.49999999999999994,36.79288311452369,36.792883114523654,36.79288311452369,36.792883114523654,68.5985746072223,73.58576622904735,0.06777386276445942,31.805691492698614,True,31.622776601683793,15.811388300841895,0.6850973786280804,68.59857460722225,5.684341886080802e-14,superadditive
0.1,0.5,4,0.09999999999999992,0.4999999999999999,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,68.5985746072223,73.58576622904738,0.06777386276445978,31.805691492698614,True,31.62277660168379,15.811388300841891,0.6850973786280804,68.59857460722225,5.684341886080802e-14,superadditive
0.1,1.0,0,0.09999999999999998,1.0000000000000002,36.79288311452369,36.792883114523676,36.79288311452369,36.792883114523676,72.61897027890053,73.58576622904737,0.01313835541424582,35.826087164376844,True,31.62277660168379,31.622776601683796,0.5811388300841897,72.61897027890053,0.0,superadditive
0.1,1.0,1,0.1,1.0000000000000007,36.792883114523676,36.792883114523676,36.792883114523676,36.792883114523676,72.6189702789006,73.58576622904735,0.013138355414244664,35.82608716437693,True,31.622776601683785,31.622776601683803,0.5811388300841897,72.61897027890053,7.105427357601002e-14,superadditive
0.1,1.0,2,0.10000000000000005,1.0,36.792883114523676,36.79288311452369,36.792883114523676,36.79288311452369,72.61897027890053,73.58576622904737,0.01313835541424582,35.82608716437686,True,31.62277660168379,31.62277660168379,0.5811388300841897,72.61897027890053,0.0,superadditive
0.1,1.0,3,0.10000000000000003,1.0000000000000002,36.79288311452369,36.792883114523676,36.79288311452369,36.792883114523676,72.61897027890053,73.58576622904737,0.01313835541424582,35.826087164376844,True,31.62277660168379,31.622776601683796,0.5811388300841897,72.61897027890053,0.0,superadditive
0.1,1.0,4,0.09999999999999995,0.9999999999999998,36.79288311452369,36.79288311452369,36.79288311452369,36.79288311452369,72.61897027890053,73.58576622904738,0.013138355414246012,35.826087164376844,True,31.622776601683796,31.62277660168379,0.5811388300841897,72.61897027890053,0.0,superadditive
0.1,2.0,0,0.10000000000000003,2.0000000000000004,36.792883114523676,36.792883114523676,36.792883114523676,36.792883114523676,68.5985746072223,73.58576622904735,0.06777386276445942,31.805691492698628,True,31.622776601683796,63.245553203367606,0.6850973786280805,68.59857460722219,1.1368683772161603e-13,superadditive
0.1,2.0,1,0.10000000000000003,1.9999999999999991,36.792883114523654,36.792883114523676,36.792883114523676,36.792883114523654,68.5985746072223,73.58576622904732,0.06777386276445906,31.805691492698628,True,31.622776601683807,63.245553203367585,0.6850973786280804,68.59857460722219,1.1368683772161603e-13,superadditive
0.1,2.0,2,0.10000000000000002,2.0000000000000013,36.792883114523676,36.792883114523654,36.792883114523654,36.792883114523676,68.5985746072223,73.58576622904732,0.06777386276445906,31.80569149269865,True,31.62277660168379,63.24555320336761,0.6850973786280806,68.59857460722219,1.1368683772161603e-13,superadditive
