encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,best_candidate_confidence_set_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_confidence_sources,oracle_confidence_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,adapter_seeds,primary_tie_tolerance,oracle_validation_margin_to_second,stage2_evaluations,exhaustive_stage2_evaluations,best_candidate_recall_tol_0,best_candidate_recall_tol_0p001,best_candidate_recall_tol_0p002,best_candidate_recall_tol_0p005,oracle_selected_test_accuracy,selected_test_accuracy,test_regret_vs_exhaustive_validation_selection,heldout_adapter_seeds
resnet50,beans,random,21,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,dermamnist,dermamnist,cifar100|dermamnist|organcmnist,cifar100_shared_images|dermamnist|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8606060799631591,0.004771113576310992,0.10437229673642906,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.878125,0.010937499999999933,5
resnet50,beans,random,22,3,21,0.8571428571428572,0,1,0.3333333333333333,0,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,breastmnist,breastmnist,breastmnist|cifar100|stl10,breastmnist|cifar100_shared_images|stl10,17,3,0.8235294117647058,0.8653771935394701,0.8620889880978468,0.0032882054416232265,0.07193237985099471,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.875,0.014062499999999978,5
resnet50,beans,random,23,3,21,0.8571428571428572,0,0,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,svhn,svhn,octmnist|retinamnist|svhn,octmnist|retinamnist|svhn,17,3,0.8235294117647058,0.8653771935394701,0.8484203841361901,0.016956809403279927,0.3709450874381872,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.878125,0.010937499999999933,5
resnet50,beans,random,24,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,cifar10,cifar10,cifar10|cifar100_coarse|organcmnist,cifar10|cifar100_shared_images|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8589297360062677,0.0064474575332024164,0.14104379199692813,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.871875,0.017187500000000022,5
resnet50,beans,random,25,3,21,0.8571428571428572,0,0,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,cifar100,cifar100_shared_images,cifar100|octmnist|pathmnist,cifar100_shared_images|octmnist|pathmnist,17,3,0.8235294117647058,0.8653771935394701,0.8537717731786036,0.011605420360866425,0.2538787556157711,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.8703125,0.018749999999999933,5
resnet50,beans,random,26,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,pneumoniamnist,pneumoniamnist,bloodmnist|cifar100|pneumoniamnist,bloodmnist|cifar100_shared_images|pneumoniamnist,17,3,0.8235294117647058,0.8653771935394701,0.8571244547476237,0.008252738791846403,0.18053590389202812,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.8859375,0.0031249999999999334,5
resnet50,beans,random,27,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,tissuemnist,tissuemnist,organcmnist|tiny_imagenet|tissuemnist,organmnist_views|tiny_imagenet|tissuemnist,17,3,0.8235294117647058,0.8653771935394701,0.854867845512374,0.010509348027096022,0.22990121137266628,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.875,0.014062499999999978,5
resnet50,beans,random,28,3,21,0.8571428571428572,0,1,0.3333333333333333,0,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,fashion_mnist,fashion_mnist,cifar100|fashion_mnist|organcmnist,cifar100_shared_images|fashion_mnist|organmnist_views,17,3,0.8235294117647058,0.8653771935394701,0.8633140128516598,0.0020631806878103065,0.04513388824742805,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.8828125,0.006249999999999978,5
resnet50,beans,random,29,3,21,0.8571428571428572,0,1,0.0,1,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,dermamnist,dermamnist,cifar10|dermamnist|mnist,cifar10|dermamnist|handwritten_digits,17,3,0.8235294117647058,0.8653771935394701,0.8606060799631591,0.004771113576310992,0.10437229673642906,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.878125,0.010937499999999933,5
resnet50,beans,random,30,3,21,0.8571428571428572,1,1,0.3333333333333333,1,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,usps,handwritten_digits,rendered_sst2|tissuemnist|usps,handwritten_digits|rendered_sst2|tissuemnist,17,3,0.8235294117647058,0.8653771935394701,0.8653771935394701,0.0,0.0,5,1e-12,0.0020631806878103065,3,21,1,1,1,1,0.8890625,0.8890625,0.0,5
resnet50,beans,random,31,3,21,0.8571428571428572,0,1,0.0,0,0.0,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,dermamnist,dermamnist,cifar100_coarse|dermamnist|pathmnist,cifar100_shared_images|dermamnist|pathmnist,17,3,0.8235294117647058,0.8653771935394701,0.8606060799631591,0.004771113576310992,0.10437229673642906,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.878125,0.010937499999999933,5
resnet50,beans,random,32,3,21,0.8571428571428572,0,1,0.3333333333333333,0,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,breastmnist,breastmnist,breastmnist|pathmnist|svhn,breastmnist|pathmnist|svhn,17,3,0.8235294117647058,0.8653771935394701,0.8620889880978468,0.0032882054416232265,0.07193237985099471,5,1e-12,0.0020631806878103065,3,21,0,0,0,1,0.8890625,0.875,0.014062499999999978,5
resnet50,beans,random,33,3,21,0.8571428571428572,0,0,0.0,1,0.3333333333333333,usps,usps,1,breastmnist|cifar10|dermamnist|fashion_mnist|organcmnist|pneumoniamnist|stl10|tiny_imagenet|usps,9,handwritten_digits,handwritten_digits,bloodmnist,bloodmnist,bloodmnist|cifar100_coarse|mnist,bloodmnist|cifar100_shared_images|handwritten_digits,17,3,0.8235294117647058,0.8653771935394701,0.8536428271225389,0.011734366416931152,0.2566995637586336,5,1e-12,0.0020631806878103065,3,21,0,0,0,0,0.8890625,0.884375,0.004687499999999956,5
