scope,method,shortlist_size,rows,encoder_target_exclusion_units,encoders,targets,excluded_sources,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
exclude_rendered_sst2,rank_only,10,28,28,4,7,1,0.8571428571428571,0.7857142857142857,0.00015172169774203232,0.012576851132386048,3.6789689745218646e-05,0.5,0.8571428571428571,0.7976190476190476,7.25,0.546875,False
exclude_retinamnist,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.7976190476190476,0.0006469571900018076,0.025415083747126675,-0.0007103170667375877,0.5,0.8571428571428571,0.8273809523809524,8.5,0.46875,False
exclude_retinamnist,facility_subspace,10,28,28,4,7,1,0.32142857142857145,0.5357142857142857,0.0024640491880479998,0.08275266077294394,0.0025054825203759284,0.5,0.35714285714285715,0.6071428571428571,10.0,0.375,False
exclude_retinamnist,kcenter_subspace,10,28,28,4,7,1,0.5714285714285714,0.5119047619047619,0.0015063528004309482,0.05544630555355461,0.002986247198922299,0.5,0.6428571428571429,0.6011904761904762,9.75,0.390625,False
exclude_retinamnist,pool_vendi_subspace,10,28,28,4,7,1,0.7857142857142857,0.6071428571428571,0.0003964035499530251,0.01565671373968333,0.001025353584970751,0.5,0.8214285714285714,0.6369047619047619,9.75,0.390625,False
exclude_retinamnist,random,10,2800,28,4,7,1,0.49178571428571427,0.501547619047619,0.0023655779570867464,0.07923434791909373,0.002188525957720619,0.5,0.5314285714285715,0.6002380952380952,8.908214285714285,0.4432366071428571,False
exclude_retinamnist,rank_only,10,28,28,4,7,1,0.8571428571428571,0.7976190476190476,0.0006421885572030375,0.024640165133088004,-0.0004654424531119234,0.5,0.8571428571428571,0.8035714285714286,7.25,0.546875,False
exclude_stl10,dpp_subspace,10,28,28,4,7,1,0.8214285714285714,0.8214285714285714,0.0006679655566320029,0.02791802490373893,-0.0007203170231410467,0.5,0.8214285714285714,0.8511904761904762,8.5,0.46875,False
exclude_stl10,facility_subspace,10,28,28,4,7,1,0.21428571428571427,0.4404761904761904,0.003796655396311198,0.11847774642920128,0.004741199527468011,0.5,0.2857142857142857,0.5654761904761905,10.0,0.375,False
exclude_stl10,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.42857142857142855,0.0014285043035337111,0.05122007699301872,0.0026355326175689702,0.5,0.6428571428571429,0.5119047619047619,9.75,0.390625,False
exclude_stl10,pool_vendi_subspace,10,28,28,4,7,1,0.8214285714285714,0.5595238095238095,0.00021449340494807717,0.008328334970408849,0.0005789250135421772,0.5,0.8571428571428571,0.619047619047619,9.75,0.390625,False
exclude_stl10,random,10,2800,28,4,7,1,0.4928571428571429,0.5057142857142857,0.002505397638631867,0.0834333926051771,0.001741387584379742,0.5,0.5439285714285714,0.6113095238095237,8.908214285714285,0.4432366071428571,False
exclude_stl10,rank_only,10,28,28,4,7,1,0.8214285714285714,0.8095238095238095,0.000654149459786075,0.026398254717747576,-0.00038549559456961736,0.5,0.8214285714285714,0.8154761904761905,7.25,0.546875,False
exclude_svhn,dpp_subspace,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5,0.8571428571428571,0.8511904761904762,8.5,0.46875,False
exclude_svhn,facility_subspace,10,28,28,4,7,1,0.2857142857142857,0.5476190476190476,0.0024530969679997772,0.08255907629801351,0.002946436405181881,0.5,0.32142857142857145,0.6071428571428571,10.0,0.375,False
exclude_svhn,kcenter_subspace,10,28,28,4,7,1,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.033317663888573726,0.002098673156329562,0.5,0.6428571428571429,0.6071428571428571,9.75,0.390625,False
exclude_svhn,pool_vendi_subspace,10,28,28,4,7,1,0.7857142857142857,0.5833333333333333,0.0004025941982589947,0.01634092195253068,0.0010623902082443249,0.5,0.8214285714285714,0.613095238095238,9.75,0.390625,False
exclude_svhn,random,10,2800,28,4,7,1,0.49785714285714283,0.5052380952380952,0.0023615349019734016,0.07850159673899113,0.0020978818514517366,0.5,0.5375,0.6071428571428571,8.908214285714285,0.4432366071428571,False
exclude_svhn,rank_only,10,28,28,4,7,1,0.8571428571428571,0.8095238095238095,0.0006331410931558796,0.023887085601246645,-0.0003754956381661583,0.5,0.8571428571428571,0.8154761904761905,7.25,0.546875,False
