method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
kcenter_subspace,3,dtd,4,0.25,0.3333333333333333,0.0023847526311874256,0.06760980117782794,0.8571428571428572,0.0007978796958923173,0.25,0.3333333333333333,3.0,0.8235294117647058
kcenter_subspace,3,eurosat,4,1.0,0.41666666666666663,0.0,0.0,0.8571428571428572,0.0,1.0,0.5,3.0,0.8235294117647058
kcenter_subspace,3,flowers102,4,0.25,0.25,0.006421568592389432,0.1576219244012444,0.8571428571428572,0.002279996871948242,0.25,0.41666666666666663,3.0,0.8235294117647058
kcenter_subspace,3,food101,4,0.75,0.3333333333333333,0.0030566678837935513,0.1005041909691681,0.8571428571428572,0.0023700058460235374,0.75,0.3333333333333333,3.0,0.8235294117647058
kcenter_subspace,3,gtsrb,4,0.75,0.3333333333333333,0.0013833362354835066,0.06268893526194917,0.8571428571428572,0.0016299992799758967,0.75,0.3333333333333333,3.0,0.8235294117647058
kcenter_subspace,3,oxford_pets,4,0.5,0.3333333333333333,0.002341483004013295,0.10544826251977674,0.8571428571428572,0.002480238676071167,0.5,0.3333333333333333,3.0,0.8235294117647058
kcenter_subspace,5,beans,4,0.5,0.3333333333333333,0.0011121844732323305,0.08579833391411391,0.7619047619047619,0.0003906250000000333,0.75,0.41666666666666663,5.0,0.7058823529411764
kcenter_subspace,5,dtd,4,0.25,0.5,0.0023847526311874256,0.06760980117782794,0.7619047619047619,0.0007978796958923173,0.25,0.5,5.0,0.7058823529411764
kcenter_subspace,5,eurosat,4,1.0,0.41666666666666663,0.0,0.0,0.7619047619047619,0.0,1.0,0.5,5.0,0.7058823529411764
kcenter_subspace,5,flowers102,4,0.5,0.5833333333333333,0.003872547944386795,0.07330071531670479,0.7619047619047619,0.004390004277229298,0.5,0.75,5.0,0.7058823529411764
kcenter_subspace,5,food101,4,0.75,0.5,0.0030566678837935513,0.1005041909691681,0.7619047619047619,0.0023700058460235374,0.75,0.5,5.0,0.7058823529411764
kcenter_subspace,5,gtsrb,4,1.0,0.41666666666666663,0.0,0.0,0.7619047619047619,0.0,1.0,0.4583333333333333,5.0,0.7058823529411764
kcenter_subspace,5,oxford_pets,4,0.5,0.3333333333333333,0.002341483004013295,0.10544826251977674,0.7619047619047619,0.002480238676071167,0.5,0.3333333333333333,5.0,0.7058823529411764
kcenter_subspace,10,beans,4,0.5,0.5833333333333333,0.0010638291848466264,0.0822606424830766,0.5238095238095238,0.0031250000000000167,0.75,0.6666666666666666,10.0,0.4117647058823529
kcenter_subspace,10,dtd,4,0.25,0.5833333333333333,0.0020877661307652506,0.05588829117320823,0.5238095238095238,0.0009308606386184692,0.25,0.5833333333333333,10.0,0.4117647058823529
kcenter_subspace,10,eurosat,4,1.0,0.5,0.0,0.0,0.5238095238095238,0.0,1.0,0.5833333333333333,10.0,0.4117647058823529
kcenter_subspace,10,flowers102,4,0.75,0.6666666666666666,0.0005228745937347068,0.013289005039604156,0.5238095238095238,-0.001019999384880066,0.75,0.8333333333333333,10.0,0.4117647058823529
kcenter_subspace,10,food101,4,1.0,0.6666666666666666,0.0,0.0,0.5238095238095238,0.0,1.0,0.6666666666666666,10.0,0.4117647058823529
kcenter_subspace,10,gtsrb,4,1.0,0.6666666666666666,0.0,0.0,0.5238095238095238,0.0,1.0,0.7083333333333334,10.0,0.4117647058823529
kcenter_subspace,10,oxford_pets,4,0.75,0.5,0.0003170284310329008,0.019618810760316525,0.5238095238095238,-0.0005996197462081743,0.75,0.5833333333333333,10.0,0.4117647058823529
leverage_centroid,3,beans,4,0.25,0.16666666666666666,0.003529981432961765,0.14504873650435712,0.8571428571428572,-0.002343749999999978,0.25,0.16666666666666666,3.0,0.8235294117647058
leverage_centroid,3,dtd,4,0.25,0.25,0.006542553901672382,0.15259661349440212,0.8571428571428572,0.0042819142341613825,0.25,0.25,3.0,0.8235294117647058
leverage_centroid,3,eurosat,4,0.25,0.16666666666666666,0.0035400009171168423,0.21675088365604514,0.8571428571428572,0.0013518422842025979,0.25,0.16666666666666666,3.0,0.8235294117647058
leverage_centroid,3,flowers102,4,0.25,0.3333333333333333,0.00534313797950739,0.08985212818097217,0.8571428571428572,-0.0016799986362457386,0.25,0.3333333333333333,3.0,0.8235294117647058
leverage_centroid,3,food101,4,0.0,0.3333333333333333,0.0032399965336918496,0.08508002994068967,0.8571428571428572,-0.0003100022673606928,0.0,0.3333333333333333,3.0,0.8235294117647058
leverage_centroid,3,gtsrb,4,0.0,0.08333333333333333,0.008686670291225107,0.2162535327764998,0.8571428571428572,0.005319993197917955,0.0,0.125,3.0,0.8235294117647058
