excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction_mean,test_regret_vs_exhaustive_validation_selection_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dinov2_b14,agglomerative_subspace,5,21,3,21,0.047619047619047616,0.12698412698412698,0.0069689225203410105,0.19952912640047926,0.7619047619047619,0.00667333546138945,0.47619047619047616,0.44444444444444436,5.0,0.7058823529411764,0,False
dinov2_b14,dpp_subspace,5,21,3,21,0.7619047619047619,0.6825396825396824,0.0006735373958629923,0.02317018150118151,0.7619047619047619,0.0015680375553312766,0.8095238095238095,0.7142857142857143,5.0,0.7058823529411764,0,False
dinov2_b14,exact_merged_rank_greedy,5,21,3,21,0.7619047619047619,0.6825396825396824,0.0006735373958629923,0.02317018150118151,0.7619047619047619,0.0015680375553312766,0.7619047619047619,0.6984126984126984,4.0,0.7647058823529411,0,False
dinov2_b14,facility_subspace,5,21,3,21,0.14285714285714285,0.14285714285714285,0.008653811732135539,0.21341549654353367,0.7619047619047619,0.006977575165884827,0.5238095238095238,0.4206349206349206,5.0,0.7058823529411764,0,False
dinov2_b14,kcenter_subspace,5,21,3,21,0.5714285714285714,0.42857142857142855,0.002373596696994049,0.07730003907689063,0.7619047619047619,0.0014655959038507318,0.6190476190476191,0.5,5.0,0.7058823529411764,0,False
dinov2_b14,leverage_centroid,5,21,3,21,0.14285714285714285,0.22222222222222218,0.004846782093676275,0.13514159036087148,0.7619047619047619,0.0019330660502115907,0.14285714285714285,0.23015873015873015,5.0,0.7058823529411764,0,False
dinov2_b14,pool_vendi_subspace,5,21,3,21,0.5714285714285714,0.44444444444444436,0.002373596696994049,0.07730003907689063,0.7619047619047619,0.0014655959038507318,0.6190476190476191,0.5158730158730158,5.0,0.7058823529411764,0,False
dinov2_b14,rank_l_gram,5,21,3,21,0.6190476190476191,0.6190476190476191,0.0009397782431739646,0.030133484115285443,0.7619047619047619,0.0008551943869817729,0.8095238095238095,0.746031746031746,5.0,0.7058823529411764,0,False
dinov2_b14,rank_only,5,21,3,21,0.7619047619047619,0.6825396825396824,0.0006735373958629923,0.02317018150118151,0.7619047619047619,0.0015680375553312766,0.7619047619047619,0.6984126984126984,4.0,0.7647058823529411,0,False
dinov2_b14,agglomerative_subspace,10,21,3,21,0.09523809523809523,0.20634920634920634,0.006078204176155899,0.16395492265492356,0.5238095238095238,0.00636396805445353,0.5714285714285714,0.5396825396825397,10.0,0.4117647058823529,0,False
dinov2_b14,dpp_subspace,10,21,3,21,0.8095238095238095,0.7619047619047619,0.0003204621351391805,0.00804598727707943,0.5238095238095238,0.0009727994600931782,0.9047619047619048,0.8174603174603176,8.666666666666666,0.4901960784313726,0,False
dinov2_b14,exact_merged_rank_greedy,10,21,3,21,0.8571428571428571,0.7777777777777777,0.0002721530260162366,0.0050564532886146615,0.5238095238095238,0.0010195226896376804,0.9047619047619048,0.8174603174603176,8.0,0.5294117647058824,1,False
dinov2_b14,facility_subspace,10,21,3,21,0.14285714285714285,0.3333333333333333,0.0052574004653959195,0.14050878873895514,0.5238095238095238,0.005213584502538037,0.6190476190476191,0.6666666666666666,10.0,0.4117647058823529,0,False
dinov2_b14,kcenter_subspace,10,21,3,21,0.7142857142857143,0.6349206349206349,0.0007019514405685415,0.02747060013567425,0.5238095238095238,-5.6787331899002934e-05,0.7619047619047619,0.7063492063492063,10.0,0.4117647058823529,0,False
dinov2_b14,leverage_centroid,10,21,3,21,0.23809523809523808,0.4603174603174603,0.0038193392742462773,0.09896189481946358,0.5238095238095238,0.002759309325899393,0.3333333333333333,0.5158730158730158,9.333333333333334,0.45098039215686275,0,False
dinov2_b14,pool_vendi_subspace,10,21,3,21,0.6190476190476191,0.6507936507936508,0.0010616807238932589,0.034037118611096324,0.5238095238095238,-0.000875697249457955,0.6666666666666666,0.7142857142857143,9.666666666666666,0.4313725490196078,0,False
dinov2_b14,rank_l_gram,10,21,3,21,0.6666666666666666,0.7301587301587301,0.0009154336029482917,0.028688313899538492,0.5238095238095238,0.00029471885590325373,1.0,0.9365079365079365,10.0,0.4117647058823529,0,False
dinov2_b14,rank_only,10,21,3,21,0.8095238095238095,0.746031746031746,0.0004164531988642338,0.015613509238931025,0.5238095238095238,0.0010939274515424434,0.8095238095238095,0.7619047619047619,7.333333333333333,0.5686274509803921,1,False
resnet50,agglomerative_subspace,3,21,3,21,0.0,0.031746031746031744,0.00708517828998927,0.2578508058432072,0.8571428571428571,0.007332830202011835,0.23809523809523808,0.2857142857142857,3.0,0.8235294117647058,0,False
