encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,shortlist_jaccard,dpp_minus_rank_test_regret,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
resnet50,flowers102,3,handwritten_digits,0.0,0.0,0.003398694197336849,0.003398694197336849,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
resnet50,flowers102,5,handwritten_digits,0.0,0.0,0.003398694197336849,0.003398694197336849,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
resnet50,flowers102,10,handwritten_digits,0.0,0.0,0.003398694197336849,0.003398694197336849,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0
resnet50,food101,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.5,0.0,1.0,1.0,0.0
resnet50,food101,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
resnet50,food101,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
resnet50,gtsrb,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
resnet50,gtsrb,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
resnet50,gtsrb,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
resnet50,oxford_pets,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
resnet50,oxford_pets,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
resnet50,oxford_pets,10,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,1.0,1.0,0.0
vit_b16,beans,3,stl10,1.0,0.0,0.0,0.0010315938352540854,1.0,0.3333333333333333,-0.0010315938352540854,-0.02792324617552738,0.5,-0.03281250000000002,1.0,0.0,1.0
vit_b16,beans,5,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,beans,10,stl10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,dtd,3,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.5,0.0,1.0,1.0,0.0
vit_b16,dtd,5,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,dtd,10,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
vit_b16,eurosat,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0
vit_b16,eurosat,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0
