encoder,projection_seed,target_domain,readout,metric,shortlist_size,method,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
dinov2_b14,20260918,quickdraw,ridge,brier_score,25,target_energy,0.7,1,0.9887413280572893,1,0.9887355846996303,1,5.743357659016013e-06,1,5.808790285181045e-06,1,0.009157790922234003,1,0.0,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,bayesian_d,0.0,1,0.9890625861736639,1,0.9887355846996303,1,0.0003270014740336391,1,0.000330726919404827,1,0.5214042565782772,1,0.00030478517445164943,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,domain_balance,0.0,1,0.9888598673146598,1,0.9887355846996303,1,0.00012428261502950289,1,0.00012569853553643355,1,0.19816878405996405,1,0.00012428261502950289,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,dpp_subspace,0.0,1,0.988992196931089,1,0.9887355846996303,1,0.00025661223145867496,1,0.0002595357499311928,1,0.40916852184843405,1,0.00025661223145867496,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,merged_effective_rank,0.0,1,0.9890625861736639,1,0.9887355846996303,1,0.0003270014740336391,1,0.000330726919404827,1,0.5214042565782772,1,0.00030478517445164943,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,random,0.10500000000000001,20,0.9888355338674251,20,0.9887355846996302,20,9.9949167794533e-05,20,0.00010108786347049168,20,0.15936907221453359,20,9.184822006410575e-05,20,0.0006343003825385452,20
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,second_moment_mmd,0.8,1,0.9887413280572893,1,0.9887355846996303,1,5.743357659016013e-06,1,5.808790285181045e-06,1,0.009157790922234003,1,0.0,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,target_a,0.3,1,0.988840111736293,1,0.9887355846996303,1,0.00010452703666274932,1,0.00010571788684484717,1,0.16666848981195892,1,8.737872932107482e-05,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,50,target_energy,0.8,1,0.9887413280572893,1,0.9887355846996303,1,5.743357659016013e-06,1,5.808790285181045e-06,1,0.009157790922234003,1,0.0,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,100,bayesian_d,0.0,1,0.9889600606375681,1,0.9887355846996303,1,0.00022447593793784026,1,0.00022703333571840058,1,0.3579271619067709,1,0.00022447593793784026,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,100,domain_balance,0.0,1,0.9888598673146598,1,0.9887355846996303,1,0.00012428261502950289,1,0.00012569853553643355,1,0.19816878405996405,1,0.00012428261502950289,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,100,dpp_subspace,0.0,1,0.9889600606375681,1,0.9887355846996303,1,0.00022447593793784026,1,0.00022703333571840058,1,0.3579271619067709,1,0.00022447593793784026,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,100,merged_effective_rank,0.0,1,0.9889600606375681,1,0.9887355846996303,1,0.00022447593793784026,1,0.00022703333571840058,1,0.3579271619067709,1,0.00022447593793784026,1,0.0006343003825385452,1
dinov2_b14,20260918,quickdraw,ridge,brier_score,100,random,0.20500000000000002,20,0.988797835680348,20,0.9887355846996302,20,6.225098071747648e-05,20,6.296019045009675e-05,20,0.09925926608797334,20,5.238696790638708e-05,20,0.0006343003825385452,20
