readout,method,metric,shortlist_size,projection_seeds,requested_projection_seeds,target_domain_count,repeated_task_count,recall_at_top_q,recall_at_top_q_defined_count,test_loss,test_loss_defined_count,oracle_loss,oracle_loss_defined_count,absolute_regret,absolute_regret_defined_count,relative_regret,relative_regret_defined_count,span_normalized_regret,span_normalized_regret_defined_count,absolute_omission,absolute_omission_defined_count,relative_candidate_span,relative_candidate_span_defined_count
logistic,random,brier_score,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.023541666666666666,6,0.8836478457943091,6,0.8632587029736835,6,0.02038914282062555,6,0.025119437042717713,6,0.17547268030876095,6,0.02007565401291452,6,0.14652094607592522,6
logistic,random,brier_score,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.0546875,6,0.876177893627797,6,0.8632587029736835,6,0.012919190654113457,6,0.01585521030293655,6,0.11536362454669924,6,0.012532955757244751,6,0.14652094607592522,6
logistic,random,brier_score,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.1084375,6,0.8718641202887779,6,0.8632587029736835,6,0.008605417315094349,6,0.010442331176979456,6,0.08327057184009701,6,0.008169421920759258,6,0.14652094607592522,6
logistic,random,brier_score,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.21666666666666667,6,0.8688281181609435,6,0.8632587029736835,6,0.0055694151872600385,6,0.006764091779948948,6,0.052611337616700005,6,0.005029529286174217,6,0.14652094607592522,6
logistic,random,brier_score,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.4896875,6,0.8660295934406202,6,0.8632587029736835,6,0.0027708904669366276,6,0.0033715613525904056,6,0.027062352072253232,6,0.0020879802508660095,6,0.14652094607592522,6
logistic,random,error_rate,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.023124999999999996,6,0.6688415527343751,6,0.6259053548177084,6,0.04293619791666666,6,0.0813093634346274,6,0.1782463082441603,6,0.04092814127604167,6,0.5637069335057727,6
logistic,random,error_rate,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.05739583333333334,6,0.6556935628255207,6,0.6259053548177084,6,0.0297882080078125,6,0.055646539642824906,6,0.13124809662291806,6,0.026598612467447918,6,0.5637069335057727,6
logistic,random,error_rate,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.11072916666666667,6,0.6508377075195312,6,0.6259053548177084,6,0.024932352701822914,6,0.046047153639773075,6,0.11452957230046346,6,0.01990814208984375,6,0.5637069335057727,6
logistic,random,error_rate,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.2147916666666667,6,0.644629414876302,6,0.6259053548177084,6,0.018724060058593752,6,0.03489851006116029,6,0.09232110841890351,6,0.013471476236979167,6,0.5637069335057727,6
logistic,random,error_rate,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.4904166666666667,6,0.6381657918294271,6,0.6259053548177084,6,0.01226043701171875,6,0.022342177093577335,6,0.06722127847691158,6,0.006143188476562499,6,0.5637069335057727,6
logistic,random,nll,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.022604166666666665,6,3.5677495832653676,6,3.4074871295253217,6,0.1602624537400458,6,0.051091460579273294,6,0.06915921970170637,6,0.15264606458449012,6,0.7108004272248954,6
logistic,random,nll,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.05364583333333334,6,3.5040300816663916,6,3.4074871295253217,6,0.09654295214107027,6,0.030485333917961915,6,0.04272581602154798,6,0.09211936954385873,6,0.7108004272248954,6
logistic,random,nll,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.1075,6,3.47054008386308,6,3.4074871295253217,6,0.06305295433775904,6,0.019518218555421848,6,0.028156003018621634,6,0.058549772583926636,6,0.7108004272248954,6
logistic,random,nll,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.211875,6,3.4442877811475223,6,3.4074871295253217,6,0.03680065162220019,6,0.011371776074501965,6,0.016858297850213973,6,0.033457241779440865,6,0.7108004272248954,6
logistic,random,nll,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.48614583333333333,6,3.4232768955151687,6,3.4074871295253217,6,0.015789765989847077,6,0.004695643475682535,6,0.007050066986063127,6,0.011895679261118041,6,0.7108004272248954,6
logistic,second_moment_mmd,brier_score,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.30624999999999997,6,0.8663335750193676,6,0.8632587029736835,6,0.0030748720456840093,6,0.003535302151689523,6,0.04471809371079898,6,0.002589352146647475,6,0.14652094607592522,6
logistic,second_moment_mmd,brier_score,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.5145833333333334,6,0.8651558783262906,6,0.8632587029736835,6,0.0018971753526069862,6,0.002140398802644192,6,0.029254058868360244,6,0.001109890924880878,6,0.14652094607592522,6
logistic,second_moment_mmd,brier_score,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.7583333333333333,6,0.864365468782961,6,0.8632587029736835,6,0.0011067658092774578,6,0.001306545910521607,6,0.013598008587473107,6,0.0003132386391876338,6,0.14652094607592522,6
logistic,second_moment_mmd,brier_score,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.9020833333333332,6,0.8640731009424677,6,0.8632587029736835,6,0.0008143979687843528,6,0.0009977048620911687,6,0.006805442394948677,6,4.4046238189020724e-05,6,0.14652094607592522,6
logistic,second_moment_mmd,brier_score,227,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.9895833333333334,6,0.8641014034738523,6,0.8632587029736835,6,0.0008427005001688664,6,0.0010283012649660748,6,0.007255505493114471,6,0.0,6,0.14652094607592522,6
logistic,second_moment_mmd,error_rate,10,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.18125,6,0.6454874674479166,6,0.6259053548177084,6,0.019582112630208332,6,0.03742708228868433,6,0.09259881296364199,6,0.016123453776041668,6,0.5637069335057727,6
logistic,second_moment_mmd,error_rate,25,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.3812499999999999,6,0.636474609375,6,0.6259053548177084,6,0.010569254557291666,6,0.01775986882838409,6,0.06104678653423216,6,0.0069580078125,6,0.5637069335057727,6
logistic,second_moment_mmd,error_rate,50,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.6145833333333334,6,0.6344706217447916,6,0.6259053548177084,6,0.008565266927083334,6,0.014840352094896994,6,0.052410850329396526,6,0.003814697265625,6,0.5637069335057727,6
logistic,second_moment_mmd,error_rate,100,"[20260917, 20260918, 20260919, 20260920]","[20260917, 20260918, 20260919, 20260920]",6,48,0.8666666666666666,6,0.6318257649739584,6,0.6259053548177084,6,0.00592041015625,6,0.0112698242822504,6,0.03583366803755656,6,0.000579833984375,6,0.5637069335057727,6
